Ssiderea250769	Function Unknown
Ssiderea241742	
Ssiderea251926	Energy production and conversion
Ssiderea180971	Posttranslational modification, protein turnover, chaperones
Ssiderea247567	Function Unknown
Ssiderea243376	Function Unknown
Ssiderea206028	Carbohydrate transport and metabolism
Ssiderea237288	Function Unknown
Ssiderea241524	Amino acid transport and metabolism
Ssiderea256762	Chromatin structure and dynamics
Ssiderea264937	Signal transduction mechanisms
Ssiderea240088	Posttranslational modification, protein turnover, chaperones
Ssiderea232082	Transcription
Ssiderea246914	
Ssiderea223623	Inorganic ion transport and metabolism
Ssiderea252754	Function Unknown
Ssiderea264683	Nucleotide transport and metabolism
Ssiderea249556	
Ssiderea260195	Inorganic ion transport and metabolism
Ssiderea263894	Function Unknown
Ssiderea261788	Transcription
Ssiderea251380	Translation, ribosomal structure and biogenesis
Ssiderea266939	Function Unknown
Ssiderea224508	Signal transduction mechanisms
Ssiderea260977	Transcription
Ssiderea259903	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea250371	RNA processing and modification
Ssiderea510650	Translation, ribosomal structure and biogenesis
Ssiderea242078	
Ssiderea255218	RNA processing and modification
Ssiderea260379	Cell wall/membrane/envelope biogenesis
Ssiderea221057	Signal transduction mechanisms
Ssiderea554529	Signal transduction mechanisms
Ssiderea239606	
Ssiderea267929	Function Unknown
Ssiderea257100	Function Unknown
Ssiderea266027	Amino acid transport and metabolism
Ssiderea261537	Signal transduction mechanisms
Ssiderea260970	Replication, recombination and repair
Ssiderea427270	
Ssiderea269571	Amino acid transport and metabolism
Ssiderea244909	Cell cycle control, cell division, chromosome partitioning
Ssiderea249934	Function Unknown
Ssiderea449718	Inorganic ion transport and metabolism
Ssiderea244450	Cell cycle control, cell division, chromosome partitioning
Ssiderea261233	Function Unknown
Ssiderea247252	Cytoskeleton
Ssiderea232640	
Ssiderea234964	
Ssiderea256714	Intracellular trafficking, secretion, and vesicular transport
Ssiderea263092	Function Unknown
Ssiderea255210	Amino acid transport and metabolism
Ssiderea243152	RNA processing and modification
Ssiderea247115	Carbohydrate transport and metabolism
Ssiderea264500	Cytoskeleton
Ssiderea266591	
Ssiderea236658	Intracellular trafficking, secretion, and vesicular transport
Ssiderea20236	Energy production and conversion
Ssiderea184243	Function Unknown
Ssiderea165326	Signal transduction mechanisms
Ssiderea267040	Carbohydrate transport and metabolism
Ssiderea256499	Posttranslational modification, protein turnover, chaperones
Ssiderea256759	Function Unknown
Ssiderea252245	
Ssiderea255508	Replication, recombination and repair
Ssiderea261273	Function Unknown
Ssiderea271388	Function Unknown
Ssiderea230958	Posttranslational modification, protein turnover, chaperones
Ssiderea252322	RNA processing and modification
Ssiderea260209	Function Unknown
Ssiderea248632	RNA processing and modification
Ssiderea255276	Nucleotide transport and metabolism
Ssiderea269037	Cytoskeleton
Ssiderea222617	Signal transduction mechanisms
Ssiderea271641	Function Unknown
Ssiderea262962	Posttranslational modification, protein turnover, chaperones
Ssiderea253415	Function Unknown
Ssiderea264196	Function Unknown
Ssiderea233104	Carbohydrate transport and metabolism
Ssiderea268487	Cytoskeleton
Ssiderea454558	Energy production and conversion
Ssiderea261783	Signal transduction mechanisms
Ssiderea552199	Signal transduction mechanisms
Ssiderea251874	Intracellular trafficking, secretion, and vesicular transport
Ssiderea264023	Function Unknown
Ssiderea361432	Posttranslational modification, protein turnover, chaperones
Ssiderea224130	Function Unknown
Ssiderea212274	Carbohydrate transport and metabolism
Ssiderea220825	Function Unknown
Ssiderea248478	
Ssiderea254408	Translation, ribosomal structure and biogenesis
Ssiderea250031	Function Unknown
Ssiderea270438	RNA processing and modification
Ssiderea232972	Function Unknown
Ssiderea173985	Translation, ribosomal structure and biogenesis
Ssiderea227720	Intracellular trafficking, secretion, and vesicular transport
Ssiderea248392	Intracellular trafficking, secretion, and vesicular transport
Ssiderea256987	Signal transduction mechanisms
Ssiderea270415	
Ssiderea239909	Transcription
Ssiderea232452	Function Unknown
Ssiderea243441	Signal transduction mechanisms
Ssiderea269601	Replication, recombination and repair
Ssiderea224768	Signal transduction mechanisms
Ssiderea250107	Function Unknown
Ssiderea500121	Carbohydrate transport and metabolism
Ssiderea243545	Amino acid transport and metabolism
Ssiderea218550	Intracellular trafficking, secretion, and vesicular transport
Ssiderea252949	Carbohydrate transport and metabolism
Ssiderea266537	Signal transduction mechanisms
Ssiderea252224	Intracellular trafficking, secretion, and vesicular transport
Ssiderea259748	Function Unknown
Ssiderea235935	RNA processing and modification
Ssiderea230628	Transcription
Ssiderea229967	Replication, recombination and repair
Ssiderea261884	RNA processing and modification
Ssiderea255862	Signal transduction mechanisms
Ssiderea410087	Carbohydrate transport and metabolism
Ssiderea266138	Transcription
Ssiderea253091	Function Unknown
Ssiderea265132	Signal transduction mechanisms
Ssiderea224924	Intracellular trafficking, secretion, and vesicular transport
Ssiderea191219	Cytoskeleton
Ssiderea246533	RNA processing and modification
Ssiderea235687	Signal transduction mechanisms
Ssiderea222477	Inorganic ion transport and metabolism
Ssiderea373582	Signal transduction mechanisms
Ssiderea248175	Posttranslational modification, protein turnover, chaperones
Ssiderea269987	
Ssiderea255643	Function Unknown
Ssiderea241633	Chromatin structure and dynamics
Ssiderea243276	Function Unknown
Ssiderea255452	Signal transduction mechanisms
Ssiderea263155	Translation, ribosomal structure and biogenesis
Ssiderea259146	Function Unknown
Ssiderea256658	Transcription
Ssiderea251086	Lipid transport and metabolism
Ssiderea254915	Transcription
Ssiderea243866	Replication, recombination and repair
Ssiderea248547	Inorganic ion transport and metabolism
Ssiderea232942	Inorganic ion transport and metabolism
Ssiderea153835	Transcription
Ssiderea246707	Function Unknown
Ssiderea256947	Function Unknown
Ssiderea260224	Signal transduction mechanisms
Ssiderea201043	Signal transduction mechanisms
Ssiderea253633	Posttranslational modification, protein turnover, chaperones
Ssiderea251064	Intracellular trafficking, secretion, and vesicular transport
Ssiderea239792	Cytoskeleton
Ssiderea241074	Cell wall/membrane/envelope biogenesis
Ssiderea263029	Intracellular trafficking, secretion, and vesicular transport
Ssiderea243662	Chromatin structure and dynamics
Ssiderea463680	Posttranslational modification, protein turnover, chaperones
Ssiderea259656	Function Unknown
Ssiderea216017	Posttranslational modification, protein turnover, chaperones
Ssiderea204125	Function Unknown
Ssiderea248849	Function Unknown
Ssiderea258987	Posttranslational modification, protein turnover, chaperones
Ssiderea251276	
Ssiderea246415	Energy production and conversion
Ssiderea208808	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea456471	Replication, recombination and repair
Ssiderea270634	Signal transduction mechanisms
Ssiderea256460	Amino acid transport and metabolism
Ssiderea232199	Signal transduction mechanisms
Ssiderea243016	Inorganic ion transport and metabolism
Ssiderea266122	Signal transduction mechanisms
Ssiderea269984	Function Unknown
Ssiderea263204	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea263014	Inorganic ion transport and metabolism
Ssiderea220012	Transcription
Ssiderea258628	Signal transduction mechanisms
Ssiderea52140	Function Unknown
Ssiderea244386	Function Unknown
Ssiderea256875	Transcription
Ssiderea265475	Posttranslational modification, protein turnover, chaperones
Ssiderea246838	RNA processing and modification
Ssiderea252234	Posttranslational modification, protein turnover, chaperones
Ssiderea269653	Signal transduction mechanisms
Ssiderea232237	Function Unknown
Ssiderea258433	Signal transduction mechanisms
Ssiderea262138	Inorganic ion transport and metabolism
Ssiderea265782	
Ssiderea225274	Carbohydrate transport and metabolism
Ssiderea239424	
Ssiderea237790	Amino acid transport and metabolism
Ssiderea157100	Replication, recombination and repair
Ssiderea239024	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea255597	Function Unknown
Ssiderea250229	Cell cycle control, cell division, chromosome partitioning
Ssiderea173757	Function Unknown
Ssiderea270779	Intracellular trafficking, secretion, and vesicular transport
Ssiderea203013	Function Unknown
Ssiderea559606	Signal transduction mechanisms
Ssiderea238638	RNA processing and modification
Ssiderea246444	Function Unknown
Ssiderea255094	
Ssiderea207713	Inorganic ion transport and metabolism
Ssiderea245330	Function Unknown
Ssiderea223052	Function Unknown
Ssiderea230417	Replication, recombination and repair
Ssiderea250271	Function Unknown
Ssiderea233756	Posttranslational modification, protein turnover, chaperones
Ssiderea226279	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea266654	
Ssiderea269538	Amino acid transport and metabolism
Ssiderea263505	Signal transduction mechanisms
Ssiderea264840	Transcription
Ssiderea261219	
Ssiderea225341	Function Unknown
Ssiderea238138	RNA processing and modification
Ssiderea252863	Posttranslational modification, protein turnover, chaperones
Ssiderea234719	Function Unknown
Ssiderea269191	Translation, ribosomal structure and biogenesis
Ssiderea265154	Translation, ribosomal structure and biogenesis
Ssiderea207984	Intracellular trafficking, secretion, and vesicular transport
Ssiderea241232	Transcription
Ssiderea221406	Carbohydrate transport and metabolism
Ssiderea264402	Cytoskeleton
Ssiderea254771	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea268510	
Ssiderea201373	Signal transduction mechanisms
Ssiderea241712	Lipid transport and metabolism
Ssiderea248040	Posttranslational modification, protein turnover, chaperones
Ssiderea262765	Function Unknown
Ssiderea222169	Carbohydrate transport and metabolism
Ssiderea268157	Function Unknown
Ssiderea220409	Function Unknown
Ssiderea265503	Function Unknown
Ssiderea190999	Transcription
Ssiderea252039	Energy production and conversion
Ssiderea213225	Chromatin structure and dynamics
Ssiderea245167	Function Unknown
Ssiderea250483	Chromatin structure and dynamics
Ssiderea266067	
Ssiderea269477	Function Unknown
Ssiderea263176	RNA processing and modification
Ssiderea257671	Carbohydrate transport and metabolism
Ssiderea247467	
Ssiderea219308	Signal transduction mechanisms
Ssiderea241199	Signal transduction mechanisms
Ssiderea206356	Function Unknown
Ssiderea220720	Signal transduction mechanisms
Ssiderea254349	Function Unknown
Ssiderea266033	Inorganic ion transport and metabolism
Ssiderea204945	Function Unknown
Ssiderea9050	Chromatin structure and dynamics
Ssiderea465773	Amino acid transport and metabolism
Ssiderea237876	
Ssiderea237279	Replication, recombination and repair
Ssiderea241997	RNA processing and modification
Ssiderea264107	Posttranslational modification, protein turnover, chaperones
Ssiderea195679	Function Unknown
Ssiderea264389	Function Unknown
Ssiderea232789	RNA processing and modification
Ssiderea259673	Energy production and conversion
Ssiderea260670	Signal transduction mechanisms
Ssiderea249775	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea208264	Translation, ribosomal structure and biogenesis
