Ssiderea046003	K10599
Ssiderea025975	K25358
Ssiderea028919	K22371
Ssiderea017376	K10642
Ssiderea049343	K19613
Ssiderea001962	K10349
Ssiderea026329	K11499
Ssiderea007110	K09331
Ssiderea054047	K13126
Ssiderea022909	K08409
Ssiderea052647	K01783
Ssiderea050128	K19467
Ssiderea042291	K12663
Ssiderea005883	K25440
Ssiderea023346	K01080
Ssiderea014717	K10175
Ssiderea60152	K03654
Ssiderea052915	K14735
Ssiderea023654	K23691
Ssiderea014867	K04392
Ssiderea002764	K17341
Ssiderea022512	K07763
Ssiderea001872	K01127
Ssiderea051082	K19948
Ssiderea021335	K00933
Ssiderea022943	K19619
Ssiderea003555	K06252
Ssiderea058219	K24814
Ssiderea030135	K17341
Ssiderea034973	K11445
Ssiderea053160	K01794
Ssiderea020101	K10104
Ssiderea005792	K04615
Ssiderea041994	K13907
Ssiderea048371	K04150
Ssiderea024915	K24738
Ssiderea007252	K17341
Ssiderea000772	K01135
Ssiderea045536	K11799
Ssiderea013416	K04710
Ssiderea051414	K14071
Ssiderea011858	K01126
Ssiderea042228	K07883
Ssiderea022089	K20346
Ssiderea004714	K19499
Ssiderea039066	K16681
Ssiderea013806	K24936
Ssiderea040203	K16219
Ssiderea031163	K08292
Ssiderea029638	K23796
Ssiderea028271	K19511
Ssiderea008720	K22066
Ssiderea045521	K24510
Ssiderea018241	K04141
Ssiderea006019	K07374
Ssiderea019341	K04628
Ssiderea017916	K01011
Ssiderea60825	K07497
Ssiderea049939	K06965
Ssiderea052634	K24936
Ssiderea054004	K06792
Ssiderea003720	K07207
Ssiderea036237	K04615
Ssiderea010635	K08467
Ssiderea007006	K18422
Ssiderea006321	K14798
Ssiderea030078	K01528
Ssiderea021904	K24260
Ssiderea051315	K06236
Ssiderea003398	K11275
Ssiderea041236	K17341
Ssiderea048845	K05181
Ssiderea042763	K08375
Ssiderea036032	K00763
Ssiderea055032	K24816
Ssiderea014361	K05126
Ssiderea007140	K14415
Ssiderea045673	K02183
Ssiderea006437	K23961
Ssiderea003011	K10349
Ssiderea051787	K12373
Ssiderea039690	K13239
Ssiderea058548	K07380
Ssiderea016187	K05051
Ssiderea009357	K00109
Ssiderea053281	K13702
Ssiderea037685	K00315
Ssiderea053606	K19491
Ssiderea045724	K04145
Ssiderea016544	K10570
Ssiderea005410	K12035
Ssiderea042459	K14544
Ssiderea029907	K07380
Ssiderea006232	K19511
Ssiderea051997	K12373
Ssiderea022549	K04224
Ssiderea034344	K11968
Ssiderea032883	K26499
Ssiderea011050	K01415
Ssiderea008536	K06825
Ssiderea035145	K14434
Ssiderea015252	K24456
