Siderastrea846961	RNA processing and modification
Siderastrea429881	
Siderastrea424023	Function Unknown
Siderastrea326096	Carbohydrate transport and metabolism
Siderastrea452889	Energy production and conversion
Siderastrea544507	Energy production and conversion
Siderastrea435187	Translation, ribosomal structure and biogenesis
Siderastrea570586	Function Unknown
Siderastrea455977	Signal transduction mechanisms
Siderastrea451499	Signal transduction mechanisms
Siderastrea413126	Function Unknown
Siderastrea358976	Posttranslational modification, protein turnover, chaperones
Siderastrea436944	Function Unknown
Siderastrea435427	Function Unknown
Siderastrea373399	Function Unknown
Siderastrea364540	Function Unknown
Siderastrea446297	Posttranslational modification, protein turnover, chaperones
Siderastrea18110	Energy production and conversion
Siderastrea449518	Posttranslational modification, protein turnover, chaperones
Siderastrea449870	RNA processing and modification
Siderastrea431286	
Siderastrea313836	Signal transduction mechanisms
Siderastrea451711	Carbohydrate transport and metabolism
Siderastrea452932	Posttranslational modification, protein turnover, chaperones
Siderastrea742554	Posttranslational modification, protein turnover, chaperones
Siderastrea440722	Posttranslational modification, protein turnover, chaperones
Siderastrea453996	Cytoskeleton
Siderastrea423742	Signal transduction mechanisms
Siderastrea416524	Signal transduction mechanisms
Siderastrea85348	Posttranslational modification, protein turnover, chaperones
Siderastrea414944	Cell cycle control, cell division, chromosome partitioning
Siderastrea296466	Cytoskeleton
Siderastrea117092	Posttranslational modification, protein turnover, chaperones
Siderastrea436663	Function Unknown
Siderastrea81347	Posttranslational modification, protein turnover, chaperones
Siderastrea429120	Posttranslational modification, protein turnover, chaperones
Siderastrea443627	Function Unknown
Siderastrea209881	Signal transduction mechanisms
Siderastrea385634	Posttranslational modification, protein turnover, chaperones
Siderastrea420402	Carbohydrate transport and metabolism
Siderastrea418902	Transcription
Siderastrea445489	Energy production and conversion
Siderastrea422249	RNA processing and modification
Siderastrea1890	
Siderastrea417604	Posttranslational modification, protein turnover, chaperones
Siderastrea327041	Extracellular structures
Siderastrea453784	Replication, recombination and repair
Siderastrea904371	Translation, ribosomal structure and biogenesis
Siderastrea441803	
Siderastrea423556	Function Unknown
Siderastrea449543	Function Unknown
Siderastrea452161	Posttranslational modification, protein turnover, chaperones
Siderastrea456635	
Siderastrea413100	Function Unknown
Siderastrea440097	Function Unknown
Siderastrea423518	Lipid transport and metabolism
Siderastrea434151	Function Unknown
Siderastrea430057	Defense mechanisms
Siderastrea176273	Translation, ribosomal structure and biogenesis
Siderastrea716789	Translation, ribosomal structure and biogenesis
Siderastrea428657	Carbohydrate transport and metabolism
Siderastrea582154	Energy production and conversion
Siderastrea215426	Posttranslational modification, protein turnover, chaperones
Siderastrea13937	Posttranslational modification, protein turnover, chaperones
Siderastrea423723	Amino acid transport and metabolism
Siderastrea446090	
Siderastrea422372	Transcription
Siderastrea411343	Cell wall/membrane/envelope biogenesis
Siderastrea256520	Replication, recombination and repair
Siderastrea853272	Inorganic ion transport and metabolism
Siderastrea255853	
Siderastrea432724	Translation, ribosomal structure and biogenesis
Siderastrea395995	Inorganic ion transport and metabolism
Siderastrea442416	RNA processing and modification
Siderastrea255975	Posttranslational modification, protein turnover, chaperones
Siderastrea451093	Function Unknown
Siderastrea434735	Function Unknown
Siderastrea431526	Function Unknown
Siderastrea100632	Cytoskeleton
Siderastrea12590	Signal transduction mechanisms
Siderastrea424126	Signal transduction mechanisms
Siderastrea23583	Posttranslational modification, protein turnover, chaperones
Siderastrea427625	Function Unknown
Siderastrea455012	
Siderastrea434132	Function Unknown
Siderastrea200360	Function Unknown
Siderastrea260111	Energy production and conversion
Siderastrea448945	Posttranslational modification, protein turnover, chaperones
Siderastrea57624	Intracellular trafficking, secretion, and vesicular transport
Siderastrea413842	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea444179	Posttranslational modification, protein turnover, chaperones
Siderastrea438762	Function Unknown
Siderastrea865	Posttranslational modification, protein turnover, chaperones
Siderastrea329860	
Siderastrea449512	Cytoskeleton
Siderastrea411282	Function Unknown
Siderastrea429106	Function Unknown
Siderastrea91472	Posttranslational modification, protein turnover, chaperones
Siderastrea455509	Cytoskeleton
Siderastrea390369	Energy production and conversion
Siderastrea419207	Intracellular trafficking, secretion, and vesicular transport
Siderastrea456198	Posttranslational modification, protein turnover, chaperones
Siderastrea437033	Posttranslational modification, protein turnover, chaperones
Siderastrea379167	Function Unknown
Siderastrea425806	Posttranslational modification, protein turnover, chaperones
Siderastrea451274	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea454867	
Siderastrea401494	Function Unknown
Siderastrea443054	Function Unknown
Siderastrea450754	Signal transduction mechanisms
Siderastrea455956	Intracellular trafficking, secretion, and vesicular transport
Siderastrea314922	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea450848	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea454580	Inorganic ion transport and metabolism
Siderastrea428139	Function Unknown
Siderastrea440398	
Siderastrea445525	Transcription
Siderastrea453092	Posttranslational modification, protein turnover, chaperones
Siderastrea426469	RNA processing and modification
Siderastrea235365	Translation, ribosomal structure and biogenesis
Siderastrea260152	Posttranslational modification, protein turnover, chaperones
Siderastrea438599	Transcription
Siderastrea405638	Chromatin structure and dynamics
Siderastrea186588	Cytoskeleton
Siderastrea839716	Energy production and conversion
Siderastrea77326	Amino acid transport and metabolism
Siderastrea278425	Replication, recombination and repair
Siderastrea436124	Translation, ribosomal structure and biogenesis
Siderastrea432331	Function Unknown
Siderastrea414681	Signal transduction mechanisms
Siderastrea523382	Cytoskeleton
Siderastrea323665	Posttranslational modification, protein turnover, chaperones
Siderastrea446628	Inorganic ion transport and metabolism
Siderastrea102572	Signal transduction mechanisms
Siderastrea429754	Amino acid transport and metabolism
Siderastrea414270	Posttranslational modification, protein turnover, chaperones
Siderastrea329438	
Siderastrea388942	Function Unknown
Siderastrea448665	Energy production and conversion
Siderastrea337529	Intracellular trafficking, secretion, and vesicular transport
Siderastrea367392	Signal transduction mechanisms
Siderastrea769226	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea103881	Translation, ribosomal structure and biogenesis
Siderastrea341033	
Siderastrea450406	Cytoskeleton
Siderastrea715274	Translation, ribosomal structure and biogenesis
Siderastrea456561	Amino acid transport and metabolism
Siderastrea440240	Chromatin structure and dynamics
Siderastrea442294	Posttranslational modification, protein turnover, chaperones
Siderastrea443853	Cytoskeleton
Siderastrea419018	Signal transduction mechanisms
Siderastrea182067	Posttranslational modification, protein turnover, chaperones
Siderastrea450254	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea452570	Replication, recombination and repair
Siderastrea451180	Function Unknown
Siderastrea424278	Signal transduction mechanisms
Siderastrea430108	Posttranslational modification, protein turnover, chaperones
Siderastrea410295	Function Unknown
Siderastrea405656	Signal transduction mechanisms
Siderastrea439796	Function Unknown
Siderastrea689969	Chromatin structure and dynamics
Siderastrea145090	Intracellular trafficking, secretion, and vesicular transport
Siderastrea419989	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea260964	Carbohydrate transport and metabolism
Siderastrea440854	Inorganic ion transport and metabolism
Siderastrea372277	Amino acid transport and metabolism
Siderastrea436812	Posttranslational modification, protein turnover, chaperones
Siderastrea454356	
Siderastrea396140	Amino acid transport and metabolism
Siderastrea445449	Inorganic ion transport and metabolism
Siderastrea381973	Transcription
Siderastrea333342	Signal transduction mechanisms
Siderastrea432171	Posttranslational modification, protein turnover, chaperones
Siderastrea714119	Amino acid transport and metabolism
Siderastrea417200	Function Unknown
Siderastrea452532	Transcription
Siderastrea447143	RNA processing and modification
Siderastrea429300	Function Unknown
Siderastrea452699	Replication, recombination and repair
Siderastrea209516	Posttranslational modification, protein turnover, chaperones
Siderastrea452544	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea814452	Posttranslational modification, protein turnover, chaperones
