Siderastrea846961	activating signal cointegrator 1 complex subunit
Siderastrea429881	Cupin superfamily protein
Siderastrea424023	Collagen triple helix
Siderastrea326096	Carbohydrate (chondroitin 4) sulfotransferase 13
Siderastrea452889	aldehyde dehydrogenase (NAD) activity
Siderastrea544507	ATP:ADP antiporter activity
Siderastrea435187	endoribonuclease activity, cleaving siRNA-paired mRNA
Siderastrea570586	Domain of unknown function (DUF4371)
Siderastrea455977	transmembrane receptor protein tyrosine kinase activity
Siderastrea451499	calmodulin-dependent protein phosphatase activity
Siderastrea413126	SOUL heme-binding protein
Siderastrea358976	G-protein coupled receptor activity
Siderastrea436944	regulation of Rac protein signal transduction
Siderastrea435427	Domain of unknown function (DUF4371)
Siderastrea373399	Lipoxygenase homology domain-containing protein 1
Siderastrea364540	GTPase activity
Siderastrea446297	Astacin (Peptidase family M12A)
Siderastrea18110	ATP synthesis coupled proton transport
Siderastrea449518	Reverse transcriptase (RNA-dependent DNA polymerase)
Siderastrea449870	snRNA processing
Siderastrea431286	-
Siderastrea313836	Scavenger receptor Cys-rich
Siderastrea451711	positive regulation of gluconeogenesis
Siderastrea452932	Zinc finger, C3HC4 type (RING finger)
Siderastrea742554	RNA splicing
Siderastrea440722	TeTratriCopeptide repeat
Siderastrea453996	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Siderastrea423742	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2-like
Siderastrea416524	neuropeptide receptor activity
Siderastrea85348	Notch signaling pathway
Siderastrea414944	chitin binding
Siderastrea296466	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Siderastrea117092	calcium ion binding
Siderastrea436663	CUB and zona pellucida-like domain-containing protein
Siderastrea81347	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Siderastrea429120	zinc ion binding
Siderastrea443627	hydrolase activity
Siderastrea209881	Protein tyrosine kinase
Siderastrea385634	Belongs to the ubiquitin-activating E1 family
Siderastrea420402	glycogen (starch) synthase activity
Siderastrea418902	BRO family, N-terminal domain
Siderastrea445489	L-malate dehydrogenase activity
Siderastrea422249	cleavage stimulation factor
Siderastrea1890	Flavin adenine dinucleotide synthetase 1
Siderastrea417604	G-protein coupled receptor activity
Siderastrea327041	Dystroglycan
Siderastrea453784	Nuclear nucleic acid-binding protein C1D
Siderastrea904371	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA
Siderastrea441803	5'-3' exonuclease activity
Siderastrea423556	Kelch motif
Siderastrea449543	Possible membrane-associated motif in LPS-induced tumor necrosis factor alpha factor (LITAF), also known as PIG7, and other animal proteins.
Siderastrea452161	TerD domain
Siderastrea456635	transmembrane receptor protein tyrosine kinase activity
Siderastrea413100	Collagen triple helix
Siderastrea440097	heme binding
Siderastrea423518	sphingolipid delta-4 desaturase activity
Siderastrea434151	hydrolase activity
Siderastrea430057	ATPase activity, coupled to transmembrane movement of substances
Siderastrea176273	positive regulation of isoleucine-tRNA ligase activity
Siderastrea716789	translation initiation factor activity
Siderastrea428657	glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity
Siderastrea582154	ATP:ADP antiporter activity
Siderastrea215426	negative regulation of IRE1-mediated unfolded protein response
Siderastrea13937	assists the folding of proteins upon ATP hydrolysis
Siderastrea423723	glutaminase activity
Siderastrea446090	-
Siderastrea422372	transcription by RNA polymerase III
Siderastrea411343	glutamine--fructose-6-phosphate
Siderastrea256520	regulation of ARF protein signal transduction
Siderastrea853272	negative regulation of citrulline biosynthetic process
Siderastrea255853	monocarboxylate transporter
Siderastrea432724	Belongs to the bacterial ribosomal protein bL35 family
Siderastrea395995	voltage-gated potassium channel activity
Siderastrea442416	negative regulation of mRNA polyadenylation
Siderastrea255975	protein C-terminus binding
Siderastrea451093	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Siderastrea434735	DNA binding
Siderastrea431526	scavenger receptor activity
Siderastrea100632	structural constituent of cytoskeleton
Siderastrea12590	Beclin 1, autophagy related
Siderastrea424126	mesenchymal-epithelial cell signaling involved in prostate gland development
Siderastrea23583	TCP-1/cpn60 chaperonin family
Siderastrea427625	Secreted protein acidic and rich in cysteine Ca binding region
Siderastrea455012	Formin Homology 2 Domain
Siderastrea434132	Heparanase
Siderastrea200360	Ribonuclease H protein
Siderastrea260111	oxygen carrier activity
Siderastrea448945	scavenger receptor activity
Siderastrea57624	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
Siderastrea413842	retinol dehydrogenase activity
Siderastrea444179	unmethylated CpG binding
Siderastrea438762	galactosylceramide sulfotransferase activity
Siderastrea865	Disintegrin and metalloproteinase domain-containing protein
Siderastrea329860	Acyl-CoA dehydrogenase, middle domain
Siderastrea449512	motor activity
Siderastrea411282	SPTR Tetratricopeptide TPR_2 repeat protein
Siderastrea429106	protein ubiquitination
Siderastrea91472	Protein farnesyltransferase subunit
Siderastrea455509	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Siderastrea390369	L-malate dehydrogenase activity
Siderastrea419207	regulation of MAPK export from nucleus
Siderastrea456198	HECT-domain (ubiquitin-transferase)
Siderastrea437033	metal ion binding
Siderastrea379167	Sulfatase-modifying factor enzyme 1
Siderastrea425806	ankyrin repeat
Siderastrea451274	monooxygenase activity
Siderastrea454867	-
Siderastrea401494	protein localization to cilium
Siderastrea443054	minichromosome maintenance
Siderastrea450754	Cyclic nucleotide-binding domain
Siderastrea455956	Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor
Siderastrea314922	alcohol dehydrogenase
Siderastrea450848	cerebellar neuron development
Siderastrea454580	Thrombospondin type 1 repeats
Siderastrea428139	TNF receptor-associated factor
Siderastrea440398	ribosomal small subunit export from nucleus
Siderastrea445525	coronary artery morphogenesis
Siderastrea453092	Reverse transcriptase (RNA-dependent DNA polymerase)
Siderastrea426469	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Siderastrea235365	translation elongation factor activity
Siderastrea260152	negative regulation of non-canonical Wnt signaling pathway
Siderastrea438599	organic anion transmembrane transporter activity
Siderastrea405638	nucleosomal DNA binding
Siderastrea186588	ATP binding
Siderastrea839716	apoptotic mitochondrial changes
Siderastrea77326	cellular response to tetrahydrofolate
Siderastrea278425	complement activation, lectin pathway
Siderastrea436124	calcium ion binding
Siderastrea432331	positive regulation of autophagosome maturation
Siderastrea414681	peroxidase activity
Siderastrea523382	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Siderastrea323665	G-protein coupled receptor activity
Siderastrea446628	sulfuric ester hydrolase activity
Siderastrea102572	phospholipase C-activating dopamine receptor signaling pathway
Siderastrea429754	May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning
Siderastrea414270	Reverse transcriptase (RNA-dependent DNA polymerase)
Siderastrea329438	acidic dipeptidase 2
Siderastrea388942	lysosomal lumen pH elevation
Siderastrea448665	BRO1-like domain
Siderastrea337529	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Siderastrea367392	fibroblast growth factor-activated receptor activity
Siderastrea769226	ATP-binding cassette, sub-family C (CFTR MRP), member 1
Siderastrea103881	protein kinase activity
Siderastrea341033	-
Siderastrea450406	Dynein assembly factor 1, axonemal homolog
Siderastrea715274	Binds to the 60S ribosomal subunit and prevents its association with the 40S ribosomal subunit to form the 80S initiation complex in the cytoplasm. Behaves as a stimulatory translation initiation factor downstream insulin growth factors. Is also involved in ribosome biogenesis. Associates with pre-60S subunits in the nucleus and is involved in its nuclear export. Cytoplasmic release of TIF6 from 60S subunits and nuclear relocalization is promoted by a RACK1 (RACK1)-dependent protein kinase C activity. In tissues responsive to insulin, controls fatty acid synthesis and glycolysis by exerting translational control of adipogenic transcription factors such as CEBPB, CEBPD and ATF4 that have G C rich or uORF in their 5'UTR. Required for ROS-dependent megakaryocyte maturation and platelets formation, controls the expression of mitochondrial respiratory chain genes involved in reactive oxygen species (ROS) synthesis. Involved in miRNA-mediated gene silencing by the RNA-induced silencing complex (RISC). Required for both miRNA-mediated translational repression and miRNA-mediated cleavage of complementary mRNAs by RISC. Modulates cell cycle progression and global translation of pre-B cells, its activation seems to be rate-limiting in tumorigenesis and tumor growth
Siderastrea456561	Ribonuclease H protein
Siderastrea440240	Belongs to the MYST (SAS MOZ) family
Siderastrea442294	Spermatogenesis-associated protein 20
Siderastrea443853	Leucine Rich repeat
Siderastrea419018	Sterile alpha motif and leucine zipper containing kinase AZK
Siderastrea182067	Disintegrin and metalloproteinase domain-containing protein
Siderastrea450254	ubiquitin-dependent ERAD pathway
Siderastrea452570	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
Siderastrea451180	Sulfatase-modifying factor enzyme 1
Siderastrea424278	asymmetric protein localization involved in cell fate determination
Siderastrea430108	Reverse transcriptase (RNA-dependent DNA polymerase)
Siderastrea410295	DPH3 homolog
Siderastrea405656	Protein tyrosine kinase
Siderastrea439796	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Siderastrea689969	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Siderastrea145090	Ras-related C3 botulinum toxin substrate
Siderastrea419989	ATPase activity, coupled to transmembrane movement of substances
Siderastrea260964	Coagulation factor 5 8 type domain protein
Siderastrea440854	sulfuric ester hydrolase activity
Siderastrea372277	molybdenum ion binding
Siderastrea436812	metal ion binding
Siderastrea454356	Williams-Beuren syndrome chromosomal region 16
Siderastrea396140	FAD dependent oxidoreductase
Siderastrea445449	Inward rectifier potassium channel
Siderastrea381973	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Siderastrea333342	5-hydroxytryptamine (serotonin) receptor 1B
Siderastrea432171	RING-like zinc finger
Siderastrea714119	Aminotransferase class I and II
Siderastrea417200	cellular calcium ion homeostasis
Siderastrea452532	transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Siderastrea447143	factor 18
Siderastrea429300	antioxidant activity
Siderastrea452699	four-way junction helicase activity
Siderastrea209516	G-protein coupled receptor activity
Siderastrea452544	heme binding
Siderastrea814452	AAA domain (Cdc48 subfamily)
Siderastrea444808	scavenger receptor activity
Siderastrea415293	Dynein assembly factor with WDR repeat domains 1
Siderastrea456105	snRNA processing
Siderastrea449392	chromosome condensation
Siderastrea448515	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Siderastrea439654	U2 snRNA binding
Siderastrea220721	G-protein coupled receptor activity
Siderastrea225377	cell surface pattern recognition receptor signaling pathway
Siderastrea790984	Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily
Siderastrea420245	secretagogin, EF-hand calcium binding protein
Siderastrea379705	Malate dehydrogenase
Siderastrea381885	Microtubule-actin cross-linking factor 1, isoforms 1 2 3 5-like
Siderastrea445187	Interferon-induced transmembrane protein
Siderastrea418700	Belongs to the universal ribosomal protein uL13 family
Siderastrea446215	base-excision repair, DNA ligation
Siderastrea426113	O-methyltransferase-like
Siderastrea418631	peptidase inhibitor activity
Siderastrea325597	SAM domain and HD domain, 1
Siderastrea448118	heavy chain 3
Siderastrea451012	voltage-gated potassium channel activity
Siderastrea420773	Belongs to the eukaryotic ribosomal protein P1 P2 family
Siderastrea319320	Ribonuclease H protein
Siderastrea289483	MyD88-dependent toll-like receptor signaling pathway
Siderastrea568421	Aldehyde dehydrogenase family
Siderastrea5691	Translation elongation factor 2
