Ssiderea256452	Replication, recombination and repair
Ssiderea243376	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea238108	Signal transduction mechanisms
Ssiderea261466	Posttranslational modification, protein turnover, chaperones
Ssiderea260249	Signal transduction mechanisms
Ssiderea250094	
Ssiderea243365	Amino acid transport and metabolism
Ssiderea251006	Signal transduction mechanisms
Ssiderea247332	
Ssiderea260012	Carbohydrate transport and metabolism
Ssiderea248113	
Ssiderea244457	Posttranslational modification, protein turnover, chaperones
Ssiderea278585	Transcription
Ssiderea256488	Signal transduction mechanisms
Ssiderea246238	Signal transduction mechanisms
Ssiderea250314	Signal transduction mechanisms
Ssiderea250889	
Ssiderea258174	Signal transduction mechanisms
Ssiderea53279	Signal transduction mechanisms
Ssiderea252754	Lipid transport and metabolism
Ssiderea249556	Energy production and conversion
Ssiderea367058	Inorganic ion transport and metabolism
Ssiderea238073	Function Unknown
Ssiderea261788	Posttranslational modification, protein turnover, chaperones
Ssiderea258522	Transcription
Ssiderea251488	Intracellular trafficking, secretion, and vesicular transport
Ssiderea263051	Intracellular trafficking, secretion, and vesicular transport
Ssiderea255467	Signal transduction mechanisms
Ssiderea266939	RNA processing and modification
Ssiderea246231	Energy production and conversion
Ssiderea260900	
Ssiderea260271	Carbohydrate transport and metabolism
Ssiderea255241	Signal transduction mechanisms
Ssiderea241329	
Ssiderea260977	Signal transduction mechanisms
Ssiderea256245	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea249498	Function Unknown
Ssiderea261260	Cytoskeleton
Ssiderea258776	Signal transduction mechanisms
Ssiderea233620	Function Unknown
Ssiderea254284	Extracellular structures
Ssiderea255218	RNA processing and modification
Ssiderea243033	Cell wall/membrane/envelope biogenesis
Ssiderea154408	Replication, recombination and repair
Ssiderea260379	Intracellular trafficking, secretion, and vesicular transport
Ssiderea251121	Transcription
Ssiderea237197	Cytoskeleton
Ssiderea262326	Extracellular structures
Ssiderea251312	
Ssiderea251797	Amino acid transport and metabolism
Ssiderea238719	Chromatin structure and dynamics
Ssiderea259947	Function Unknown
Ssiderea250528	RNA processing and modification
Ssiderea259285	Function Unknown
Ssiderea257100	Amino acid transport and metabolism
Ssiderea244324	Signal transduction mechanisms
Ssiderea247667	Function Unknown
Ssiderea240627	
Ssiderea242137	Replication, recombination and repair
Ssiderea260830	Signal transduction mechanisms
Ssiderea259158	Cytoskeleton
Ssiderea182230	
Ssiderea253480	Function Unknown
Ssiderea157095	Lipid transport and metabolism
Ssiderea249934	Cell cycle control, cell division, chromosome partitioning
Ssiderea436202	Intracellular trafficking, secretion, and vesicular transport
Ssiderea244605	
Ssiderea235114	Function Unknown
Ssiderea251736	Posttranslational modification, protein turnover, chaperones
Ssiderea241642	Intracellular trafficking, secretion, and vesicular transport
Ssiderea261002	Signal transduction mechanisms
Ssiderea246468	Cell wall/membrane/envelope biogenesis
Ssiderea250632	Function Unknown
Ssiderea261233	Energy production and conversion
Ssiderea261206	Function Unknown
Ssiderea251533	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea242027	Cell cycle control, cell division, chromosome partitioning
Ssiderea261445	Posttranslational modification, protein turnover, chaperones
Ssiderea232640	Function Unknown
Ssiderea291007	Posttranslational modification, protein turnover, chaperones
Ssiderea249050	Posttranslational modification, protein turnover, chaperones
Ssiderea256714	Signal transduction mechanisms
Ssiderea260218	RNA processing and modification
Ssiderea250953	Nucleotide transport and metabolism
Ssiderea236822	Intracellular trafficking, secretion, and vesicular transport
Ssiderea239631	Transcription
Ssiderea159791	Signal transduction mechanisms
Ssiderea249726	Replication, recombination and repair
Ssiderea259099	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea206668	Transcription
Ssiderea256759	Posttranslational modification, protein turnover, chaperones
Ssiderea256499	Function Unknown
Ssiderea247601	Lipid transport and metabolism
Ssiderea241113	Translation, ribosomal structure and biogenesis
Ssiderea252881	Signal transduction mechanisms
Ssiderea252245	Translation, ribosomal structure and biogenesis
Ssiderea250930	Signal transduction mechanisms
Ssiderea237546	Intracellular trafficking, secretion, and vesicular transport
Ssiderea212358	Function Unknown
Ssiderea94424	
Ssiderea182153	Posttranslational modification, protein turnover, chaperones
Ssiderea249007	Transcription
Ssiderea251824	Function Unknown
Ssiderea251055	Transcription
Ssiderea230958	Function Unknown
Ssiderea247789	Inorganic ion transport and metabolism
Ssiderea244877	Translation, ribosomal structure and biogenesis
Ssiderea235296	Intracellular trafficking, secretion, and vesicular transport
Ssiderea260209	Lipid transport and metabolism
Ssiderea247765	
Ssiderea238849	Function Unknown
Ssiderea215429	Signal transduction mechanisms
Ssiderea314933	Translation, ribosomal structure and biogenesis
Ssiderea255276	RNA processing and modification
Ssiderea248632	Transcription
Ssiderea263419	Signal transduction mechanisms
Ssiderea257326	Intracellular trafficking, secretion, and vesicular transport
Ssiderea241440	Signal transduction mechanisms
Ssiderea284208	Energy production and conversion
Ssiderea232738	Posttranslational modification, protein turnover, chaperones
Ssiderea241324	
Ssiderea247730	Function Unknown
Ssiderea248915	
Ssiderea261783	
Ssiderea214875	Lipid transport and metabolism
Ssiderea248958	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea208675	Carbohydrate transport and metabolism
Ssiderea129546	Amino acid transport and metabolism
Ssiderea101213	RNA processing and modification
Ssiderea246603	Inorganic ion transport and metabolism
Ssiderea251514	RNA processing and modification
Ssiderea193213	Signal transduction mechanisms
Ssiderea251333	Cell wall/membrane/envelope biogenesis
Ssiderea247917	Signal transduction mechanisms
Ssiderea261426	Replication, recombination and repair
Ssiderea260202	Posttranslational modification, protein turnover, chaperones
Ssiderea245762	Function Unknown
Ssiderea262774	RNA processing and modification
Ssiderea258098	
Ssiderea250220	Function Unknown
Ssiderea248478	Posttranslational modification, protein turnover, chaperones
Ssiderea263033	Inorganic ion transport and metabolism
Ssiderea263363	Posttranslational modification, protein turnover, chaperones
Ssiderea317812	Posttranslational modification, protein turnover, chaperones
Ssiderea245771	
Ssiderea263271	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea259222	Inorganic ion transport and metabolism
Ssiderea262607	Translation, ribosomal structure and biogenesis
Ssiderea250552	Cell cycle control, cell division, chromosome partitioning
Ssiderea251742	Function Unknown
Ssiderea258144	Signal transduction mechanisms
Ssiderea242822	Lipid transport and metabolism
Ssiderea261451	Posttranslational modification, protein turnover, chaperones
Ssiderea247850	Function Unknown
Ssiderea241365	Function Unknown
Ssiderea252384	Carbohydrate transport and metabolism
Ssiderea250107	Function Unknown
Ssiderea244105	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea88911	
Ssiderea230733	Intracellular trafficking, secretion, and vesicular transport
Ssiderea253715	Intracellular trafficking, secretion, and vesicular transport
Ssiderea257667	Function Unknown
Ssiderea260071	Posttranslational modification, protein turnover, chaperones
Ssiderea250072	Signal transduction mechanisms
Ssiderea261632	Function Unknown
Ssiderea256493	Amino acid transport and metabolism
Ssiderea261884	Coenzyme transport and metabolism
Ssiderea260158	Function Unknown
Ssiderea238161	Cell cycle control, cell division, chromosome partitioning
Ssiderea249600	Replication, recombination and repair
Ssiderea226851	
Ssiderea248453	Inorganic ion transport and metabolism
Ssiderea253091	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea245861	Function Unknown
Ssiderea225612	Chromatin structure and dynamics
Ssiderea222483	Replication, recombination and repair
Ssiderea254189	
Ssiderea246533	Function Unknown
Ssiderea127966	Amino acid transport and metabolism
Ssiderea238265	
Ssiderea248175	Cytoskeleton
Ssiderea248157	Replication, recombination and repair
Ssiderea236233	Function Unknown
Ssiderea241778	Inorganic ion transport and metabolism
Ssiderea261214	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea259146	Intracellular trafficking, secretion, and vesicular transport
Ssiderea250024	Cell wall/membrane/envelope biogenesis
Ssiderea250539	Translation, ribosomal structure and biogenesis
Ssiderea247090	Function Unknown
Ssiderea254915	Posttranslational modification, protein turnover, chaperones
Ssiderea257678	Function Unknown
Ssiderea254701	Inorganic ion transport and metabolism
Ssiderea249928	Function Unknown
Ssiderea260224	
Ssiderea263591	Cytoskeleton
Ssiderea258962	Function Unknown
Ssiderea253633	
Ssiderea261405	Function Unknown
Ssiderea251064	Intracellular trafficking, secretion, and vesicular transport
Ssiderea254778	Replication, recombination and repair
Ssiderea121667	Signal transduction mechanisms
Ssiderea232798	Transcription
Ssiderea226265	Function Unknown
Ssiderea204187	Function Unknown
Ssiderea263029	Carbohydrate transport and metabolism
Ssiderea243662	Translation, ribosomal structure and biogenesis
Ssiderea259656	RNA processing and modification
