Siderastrea846961	K18663
Siderastrea420229	K24936
Siderastrea359685	K19360
Siderastrea418968	K00591
Siderastrea187139	K08770
Siderastrea451711	K17491
Siderastrea423742	K18079
Siderastrea81347	K03768
Siderastrea422249	K14407
Siderastrea417604	K04240
Siderastrea327041	K06265
Siderastrea904371	K02992
Siderastrea449917	K12800
Siderastrea456635	K25449
Siderastrea387505	K04153
Siderastrea434132	K07964
Siderastrea57624	K04646
Siderastrea25552	K10408
Siderastrea455509	K17751
Siderastrea186588	K10355
Siderastrea414681	K06754
Siderastrea523382	K10358
Siderastrea446628	K01135
Siderastrea769226	K05665
Siderastrea715274	K03264
Siderastrea413603	K11997
Siderastrea424278	K00444
Siderastrea145090	K04393
Siderastrea432171	K15701
Siderastrea447143	K12817
Siderastrea504049	K15837
Siderastrea814452	K03063
Siderastrea448515	K08465
Siderastrea790984	K06580
Siderastrea362680	K06793
Siderastrea325597	K22544
Siderastrea289483	K10159
Siderastrea5691	K03234
Siderastrea447444	K11997
Siderastrea450932	K19619
Siderastrea372093	K02937
Siderastrea176000	K07937
Siderastrea166199	K05110
Siderastrea426576	K01049
Siderastrea402183	K18274
Siderastrea430937	K04712
Siderastrea443348	K08467
Siderastrea632275	K07422
Siderastrea716070	K11498
Siderastrea445665	K04978
Siderastrea436743	K19375
Siderastrea431380	K04162
Siderastrea444536	K23544
Siderastrea887779	K10172
Siderastrea568535	K07918
Siderastrea426533	K00799
Siderastrea438201	K09582
Siderastrea857790	K13111
Siderastrea872230	K17300
Siderastrea576235	K01951
Siderastrea238628	K06841
Siderastrea556381	K03843
Siderastrea425546	K01667
Siderastrea404706	K06238
Siderastrea171375	K01379
Siderastrea437390	K10478
Siderastrea428862	K03099
Siderastrea341561	K05129
Siderastrea442951	K08132
Siderastrea422763	K15289
Siderastrea604089	K08867
Siderastrea31130	K25616
Siderastrea422757	K23879
Siderastrea347421	K06269
Siderastrea257922	K14611
Siderastrea447895	K05863
Siderastrea773593	K01647
Siderastrea480569	K02983
Siderastrea439675	K23739
Siderastrea441359	K15424
Siderastrea344317	K07497
Siderastrea454628	K04497
Siderastrea653220	K10359
Siderastrea437942	K14206
Siderastrea398789	K17285
Siderastrea474644	K09496
Siderastrea427469	K04429
Siderastrea439745	K00756
Siderastrea396022	K07901
Siderastrea180646	K04043
Siderastrea444782	K15074
Siderastrea438061	K19758
Siderastrea807228	K15839
Siderastrea452266	K01052
Siderastrea450087	K12132
Siderastrea437589	K10422
Siderastrea393932	K10443
Siderastrea405331	K04144
Siderastrea408345	K12828
Siderastrea436690	K05396
Siderastrea584353	K04630
Siderastrea445138	K10419
Siderastrea312433	K01415
Siderastrea691235	K17085
Siderastrea878941	K17260
Siderastrea329902	K05102
Siderastrea6975	K24721
Siderastrea333012	K24936
Siderastrea426683	K12800
Siderastrea441137	K15633
Siderastrea448433	K04144
Siderastrea422507	K23010
Siderastrea433864	K10699
Siderastrea573919	K14290
Siderastrea416680	K19899
Siderastrea442088	K11703
Siderastrea865987	K18467
Siderastrea193340	K04607
Siderastrea444818	K08821
Siderastrea447674	K11450
Siderastrea449436	K17497
Siderastrea429221	K08231
Siderastrea417533	K13239
Siderastrea320243	K24431
Siderastrea541633	K02930
Siderastrea818352	K05849
Siderastrea434472	K08467
Siderastrea407419	K24683
Siderastrea332675	K04612
Siderastrea483916	K12812
Siderastrea420088	K04287
Siderastrea130456	K02877
Siderastrea453797	K04831
Siderastrea434247	K06224
Siderastrea449781	K08187
Siderastrea689801	K15029
Siderastrea442467	K09454
Siderastrea452155	K20403
Siderastrea63846	K12896
Siderastrea429443	K10421
Siderastrea833135	K07151
Siderastrea454076	K15255
Siderastrea351415	K21392
Siderastrea452089	K26151
Siderastrea452010	K14011
Siderastrea189873	K10359
Siderastrea426351	K03062
Siderastrea349943	K11667
Siderastrea475703	K11593
Siderastrea33706	K12625
Siderastrea432044	K07830
Siderastrea146233	K01469
Siderastrea249184	K04043
Siderastrea446468	K06271
Siderastrea435163	K09331
Siderastrea579860	K24060
Siderastrea310280	K07198
Siderastrea543050	K09516
Siderastrea481507	K05181
Siderastrea450457	K12603
Siderastrea437958	K14006
Siderastrea862952	K08465
Siderastrea442619	K00472
Siderastrea170693	K01019
Siderastrea202998	K20994
Siderastrea456051	K07497
Siderastrea449564	K12132
Siderastrea221113	K12035
Siderastrea296619	K06252
Siderastrea760992	K02995
Siderastrea220047	K03872
Siderastrea484140	K08568
Siderastrea262540	K04362
Siderastrea706854	K16726
Siderastrea453853	K08803
Siderastrea297425	K12604
Siderastrea448979	K24793
Siderastrea449800	K17943
Siderastrea243634	K06756
Siderastrea443494	K00710
Siderastrea741190	K01464
Siderastrea301968	K21852
Siderastrea445403	K18441
Siderastrea425454	K13295
Siderastrea417736	K24793
Siderastrea338249	K04367
Siderastrea360180	K06825
Siderastrea847702	K00106
Siderastrea392786	K12301
Siderastrea314927	K05175
Siderastrea214657	K08341
Siderastrea774623	K00627
Siderastrea384248	K03952
Siderastrea374590	K02186
Siderastrea437365	K11842
Siderastrea444840	K12605
Siderastrea428678	K05692
Siderastrea349986	K07203
Siderastrea276845	K02737
Siderastrea427574	K07755
Siderastrea422283	K17408
Siderastrea446380	K11699
Siderastrea787756	K02937
Siderastrea446219	K07903
Siderastrea403864	K10349
Siderastrea447235	K13173
Siderastrea322009	K15710
Siderastrea642371	K02898
Siderastrea750783	K09490
Siderastrea395440	K08076
Siderastrea426413	K04773
Siderastrea256007	K07375
Siderastrea449715	K01889
Siderastrea430697	K11182
Siderastrea415762	K24469
Siderastrea425989	K24835
Siderastrea292620	K15837
Siderastrea347593	K19931
Siderastrea442537	K08683
Siderastrea451041	K22754
Siderastrea443519	K05220
Siderastrea452653	K06689
Siderastrea445841	K03654
Siderastrea417297	K24098
Siderastrea498594	K05929
Siderastrea442747	K16729
Siderastrea442597	K10583
Siderastrea713894	K12311
Siderastrea410178	K24419
Siderastrea323179	K01201
Siderastrea394814	K00059
Siderastrea450193	K00966
Siderastrea428206	K14860
Siderastrea711712	K04345
Siderastrea215178	K25165
Siderastrea408540	K24683
Siderastrea349276	K06767
Siderastrea476336	K12863
Siderastrea447376	K14844
Siderastrea309468	K14385
Siderastrea443925	K08729
Siderastrea94134	K24936
Siderastrea452181	K12035
Siderastrea228220	K06767
Siderastrea819507	K09229
Siderastrea441708	K10478
Siderastrea452996	K10360
Siderastrea440895	K04150
Siderastrea61712	K00688
Siderastrea556053	K11842
Siderastrea445618	K08202
Siderastrea794002	K17570
Siderastrea448734	K08624
Siderastrea404758	K00512
Siderastrea441820	K01077
Siderastrea233420	K09624
Siderastrea450224	K05614
Siderastrea398105	K01349
Siderastrea440534	K25700
Siderastrea59520	K02470
Siderastrea431943	K01672
Siderastrea429475	K07841
Siderastrea760752	K00803
Siderastrea330668	K22754
Siderastrea454519	K11316
Siderastrea427456	K16669
Siderastrea365924	K07374
Siderastrea368997	K10577
Siderastrea690606	K18274
Siderastrea448669	K01062
Siderastrea429912	K03671
Siderastrea436311	K17908
Siderastrea767286	K02896
Siderastrea447663	K20030
Siderastrea892771	K12812
Siderastrea726402	K00333
Siderastrea400474	K04266
Siderastrea474738	K05546
Siderastrea902216	K03234
Siderastrea66270	K02030
