Siderastrea_08840	K02997
Siderastrea_06970	K18932
Siderastrea_02237	K10408
Siderastrea_07306	K22531
Siderastrea_18384	K14803
Siderastrea_14616	K15014
Siderastrea_15299	K18437
Siderastrea_16135	K12035
Siderastrea_16409	K00461
Siderastrea_15926	K24683
Siderastrea_08720	K20122
Siderastrea_17350	K11647
Siderastrea_10792	K08628
Siderastrea_01868	K08029
Siderastrea_07491	K11536
Siderastrea_06121	K00019
Siderastrea_12860	K14676
Siderastrea_00962	K23741
Siderastrea_06699	K08794
Siderastrea_05069	K11446
Siderastrea_04708	K15712
Siderastrea_17894	K22614
Siderastrea_12955	K01108
Siderastrea_07122	K07497
Siderastrea_17586	K20133
Siderastrea_09322	K10408
Siderastrea_08727	K21248
Siderastrea_03289	K05858
Siderastrea_12606	K00315
Siderastrea_09288	K08628
Siderastrea_12297	K22611
Siderastrea_18221	K01697
Siderastrea_03318	K05220
Siderastrea_14266	K11366
Siderastrea_00629	K22382
Siderastrea_07804	K08029
Siderastrea_16990	K14787
Siderastrea_15792	K17730
Siderastrea_16936	K05702
Siderastrea_01911	K21853
Siderastrea_01239	K21863
Siderastrea_13303	K23605
Siderastrea_13257	K03173
Siderastrea_13157	K01076
Siderastrea_13023	K17921
Siderastrea_11562	K08333
Siderastrea_05416	K02332
Siderastrea_05607	K04344
Siderastrea_02014	K07197
Siderastrea_12867	K24936
Siderastrea_05929	K01142
Siderastrea_01152	K16573
Siderastrea_13614	K11584
Siderastrea_11789	K05676
Siderastrea_08033	K02842
Siderastrea_12616	K02872
Siderastrea_03899	K06254
Siderastrea_07958	K03899
Siderastrea_06472	K20473
Siderastrea_10452	K04739
Siderastrea_14707	K14455
Siderastrea_00251	K24887
Siderastrea_07208	K12800
Siderastrea_16115	K10413
Siderastrea_02741	K10612
Siderastrea_11702	K04224
Siderastrea_01091	K15172
Siderastrea_05540	K25092
Siderastrea_07382	K10414
Siderastrea_06542	K11854
Siderastrea_12677	K09048
Siderastrea_00831	K12035
Siderastrea_00721	K10415
Siderastrea_16059	K25794
Siderastrea_16210	K15162
Siderastrea_13679	K14398
Siderastrea_14057	K04135
Siderastrea_10646	K06158
Siderastrea_02920	K07435
Siderastrea_11696	K08958
Siderastrea_05089	K00627
Siderastrea_17298	K19413
Siderastrea_07164	K06229
Siderastrea_06002	K11262
Siderastrea_14742	K04849
Siderastrea_05280	K08052
Siderastrea_00291	K03178
Siderastrea_06645	K00318
Siderastrea_13123	K11800
Siderastrea_11337	K11093
Siderastrea_09656	K17592
Siderastrea_06489	K05641
Siderastrea_12818	K00058
Siderastrea_15532	K09267
Siderastrea_02291	K01687
Siderastrea_06344	K04990
Siderastrea_06549	K03173
Siderastrea_14752	K20286
Siderastrea_03543	K02085
Siderastrea_04770	K17336
Siderastrea_10468	K12026
Siderastrea_09201	K24183
Siderastrea_14849	K10478
Siderastrea_07227	K17987
Siderastrea_14110	K09487
Siderastrea_08218	K08455
Siderastrea_16802	K12604
Siderastrea_06302	K12179
Siderastrea_03439	K14848
Siderastrea_04782	K13212
Siderastrea_02282	K17804
Siderastrea_08073	K22754
Siderastrea_03831	K10592
Siderastrea_06292	K07936
Siderastrea_02851	K12178
Siderastrea_15208	K01530
Siderastrea_09522	K19352
Siderastrea_18183	K11838
Siderastrea_11276	K11140
Siderastrea_12946	K07514
Siderastrea_15241	K24874
Siderastrea_14681	K15102
Siderastrea_09325	K14565
Siderastrea_01533	K10642
Siderastrea_06988	K07497
Siderastrea_10960	K19613
Siderastrea_10758	K17307
Siderastrea_16015	K10645
Siderastrea_01211	K10733
Siderastrea_13058	K09228
Siderastrea_07498	K10449
Siderastrea_02136	K07118
Siderastrea_09304	K18437
Siderastrea_11052	K24675
Siderastrea_02730	K02163
Siderastrea_09263	K12304
Siderastrea_13810	K16673
Siderastrea_04055	K05665
Siderastrea_00820	K09667
Siderastrea_10473	K19603
Siderastrea_11020	K15293
Siderastrea_00719	K02156
Siderastrea_14641	K12830
Siderastrea_12289	K24938
Siderastrea_19041	K10373
Siderastrea_01847	K25165
Siderastrea_11284	K15260
Siderastrea_04235	K11098
Siderastrea_13711	K20095
Siderastrea_17440	K07937
Siderastrea_03071	K02898
Siderastrea_04195	K06820
Siderastrea_18019	K11584
Siderastrea_08316	K01135
Siderastrea_19090	K12879
Siderastrea_03282	K22377
Siderastrea_07986	K07497
Siderastrea_07018	K01049
Siderastrea_13104	K25185
Siderastrea_18303	K02953
Siderastrea_00539	K03348
Siderastrea_13597	K10408
Siderastrea_12084	K10454
Siderastrea_05947	K14297
Siderastrea_18314	K11647
Siderastrea_12186	K04679
Siderastrea_08448	K09592
Siderastrea_02650	K16630
Siderastrea_15126	K02866
Siderastrea_13160	K11594
Siderastrea_06632	K04533
Siderastrea_05721	K20044
Siderastrea_17507	K16059
Siderastrea_01075	K17383
Siderastrea_11080	K10642
Siderastrea_00317	K18533
Siderastrea_13859	K07374
Siderastrea_05266	K00654
Siderastrea_05960	K20051
Siderastrea_14106	K00544
Siderastrea_12158	K17566
Siderastrea_17053	K07521
Siderastrea_19267	K07903
Siderastrea_10944	K06564
Siderastrea_02230	K07497
Siderastrea_01296	K21847
Siderastrea_05331	K10592
Siderastrea_00588	K09657
Siderastrea_16821	K20404
Siderastrea_18295	K22758
Siderastrea_18050	K18084
Siderastrea_05495	K10595
Siderastrea_04257	K07497
Siderastrea_14379	K14558
Siderastrea_17787	K14319
Siderastrea_03716	K12736
Siderastrea_02527	K12373
Siderastrea_15474	K12867
Siderastrea_12516	K08836
Siderastrea_18881	K12874
Siderastrea_04250	K03025
Siderastrea_07191	K05701
Siderastrea_02873	K08054
Siderastrea_07321	K15839
Siderastrea_14447	K19827
Siderastrea_17272	K24469
Siderastrea_12399	K07765
Siderastrea_09065	K15181
Siderastrea_15266	K24734
Siderastrea_07235	K21870
Siderastrea_06579	K17286
Siderastrea_11630	K07942
Siderastrea_14895	K24337
Siderastrea_17607	K11665
Siderastrea_18264	K07497
Siderastrea_05252	K05635
Siderastrea_12390	K03010
Siderastrea_10486	K01275
Siderastrea_00099	K22943
Siderastrea_01383	K14572
Siderastrea_18097	K01322
Siderastrea_06525	K19720
Siderastrea_18042	K12434
Siderastrea_08152	K15047
Siderastrea_02815	K02519
Siderastrea_13933	K08633
Siderastrea_16378	K24642
Siderastrea_10409	K06671
Siderastrea_10384	K02991
Siderastrea_12611	K26167
Siderastrea_04064	K11829
Siderastrea_10879	K19827
Siderastrea_15228	K19703
Siderastrea_13965	K01581
Siderastrea_00217	K07756
Siderastrea_18949	K12559
Siderastrea_14342	K00552
Siderastrea_08251	K23222
Siderastrea_08603	K11262
Siderastrea_06750	K11153
Siderastrea_12804	K24048
Siderastrea_07371	K00852
Siderastrea_02950	K06225
Siderastrea_10661	K02296
Siderastrea_10848	K03108
Siderastrea_18012	K17592
Siderastrea_03640	K12035
Siderastrea_16303	K23965
Siderastrea_13922	K10573
Siderastrea_05136	K01530
Siderastrea_10359	K01195
Siderastrea_06979	K12811
Siderastrea_08293	K10843
Siderastrea_02754	K15865
Siderastrea_00150	K23720
Siderastrea_09877	K15255
Siderastrea_10762	K25866
Siderastrea_09191	K11853
Siderastrea_10862	K04978
Siderastrea_16317	K14213
Siderastrea_10100	K02875
Siderastrea_02110	K10408
Siderastrea_13426	K13866
Siderastrea_18249	K10359
Siderastrea_02986	K15283
Siderastrea_06217	K03242
