Ssiderea243376	K05681
Ssiderea238108	K03899
Ssiderea260249	K05125
Ssiderea260012	K07497
Ssiderea278585	K22684
Ssiderea252754	K00227
Ssiderea249556	K00326
Ssiderea238073	K24813
Ssiderea261788	K11974
Ssiderea258522	K03015
Ssiderea251488	K18739
Ssiderea266939	K13207
Ssiderea246231	K01596
Ssiderea260271	K01810
Ssiderea241329	K10846
Ssiderea260977	K10457
Ssiderea249498	K00744
Ssiderea258776	K23712
Ssiderea255218	K15542
Ssiderea260379	K12402
Ssiderea262326	K19721
Ssiderea251312	K04615
Ssiderea251797	K17509
Ssiderea259947	K24431
Ssiderea257100	K07588
Ssiderea242137	K07466
Ssiderea260830	K14072
Ssiderea182230	K01764
Ssiderea262557	K17573
Ssiderea249934	K17562
Ssiderea157095	K05858
Ssiderea235114	K24964
Ssiderea261002	K18669
Ssiderea246468	K03844
Ssiderea250632	K25648
Ssiderea261233	K02149
Ssiderea232640	K16857
Ssiderea260218	K12820
Ssiderea220811	K05673
Ssiderea256759	K07497
Ssiderea256499	K09257
Ssiderea252881	K04428
Ssiderea252245	K01866
Ssiderea255508	K06180
Ssiderea244877	K03254
Ssiderea260209	K01897
Ssiderea247765	K25830
Ssiderea238849	K18152
Ssiderea314933	K02925
Ssiderea255276	K14405
Ssiderea248632	K22371
Ssiderea232738	K04078
Ssiderea241324	K23901
Ssiderea261783	K14289
Ssiderea248958	K07409
Ssiderea208675	K17525
Ssiderea101213	K12823
Ssiderea251333	K22125
Ssiderea248478	K23333
Ssiderea317812	K00799
Ssiderea262607	K14775
Ssiderea251742	K23718
Ssiderea242822	K00653
Ssiderea247850	K01403
Ssiderea241365	K04237
Ssiderea252384	K00693
Ssiderea244105	K17689
Ssiderea257667	K17580
Ssiderea260071	K11797
Ssiderea250072	K23924
Ssiderea261884	K01930
Ssiderea260158	K25471
Ssiderea238161	K11789
Ssiderea248453	K01077
Ssiderea226851	K11413
Ssiderea253091	K05673
Ssiderea225612	K11407
Ssiderea222483	K02332
Ssiderea246533	K19365
Ssiderea127966	K04986
Ssiderea248175	K10423
Ssiderea248157	K03509
Ssiderea259146	K20366
Ssiderea254915	K11857
Ssiderea260224	K00699
Ssiderea263591	K06115
Ssiderea253633	K24392
Ssiderea261405	K10520
Ssiderea251064	K07942
Ssiderea254778	K23362
Ssiderea121667	K06269
Ssiderea226265	K24835
Ssiderea263029	K23741
Ssiderea243662	K02995
Ssiderea259656	K14398
Ssiderea235732	K11703
Ssiderea251276	K07532
Ssiderea246415	K01125
Ssiderea262283	K01490
Ssiderea251966	K09497
Ssiderea256460	K07497
Ssiderea228985	K04874
Ssiderea258752	K13240
Ssiderea232369	K21871
Ssiderea259927	K11858
Ssiderea261250	K23342
Ssiderea258197	K10866
Ssiderea245351	K14457
Ssiderea106991	K05619
Ssiderea250762	K09637
Ssiderea232237	K16452
Ssiderea253447	K11182
Ssiderea262138	K07378
Ssiderea234413	K23837
Ssiderea250880	K20193
Ssiderea258755	K15690
Ssiderea239424	K16308
Ssiderea249624	K09258
Ssiderea255597	K25709
Ssiderea256564	K11157
Ssiderea207178	K17577
Ssiderea321848	K00933
Ssiderea250581	K07904
Ssiderea258503	K16809
Ssiderea186048	K04079
Ssiderea254752	K07497
Ssiderea244824	K10638
Ssiderea214130	K14963
Ssiderea205436	K25609
Ssiderea262189	K05126
Ssiderea392546	K14572
Ssiderea220844	K04374
Ssiderea261219	K04567
Ssiderea191246	K11577
Ssiderea245476	K10575
Ssiderea241463	K13202
Ssiderea163372	K02324
Ssiderea242389	K10412
Ssiderea214307	K01204
Ssiderea245167	K24062
Ssiderea231983	K00940
Ssiderea263176	K22156
Ssiderea257671	K00166
Ssiderea106071	K10408
Ssiderea249654	K06252
Ssiderea262576	K10293
Ssiderea254349	K16543
