Ssiderea246914	K01301
Ssiderea249556	K24674
Ssiderea260195	K24200
Ssiderea263894	K09207
Ssiderea258153	K04309
Ssiderea260379	K18261
Ssiderea257100	K08507
Ssiderea266027	K05614
Ssiderea261537	K04662
Ssiderea260970	K08739
Ssiderea244450	K10151
Ssiderea243152	K14012
Ssiderea264500	K04559
Ssiderea184243	K04253
Ssiderea256759	K16860
Ssiderea252245	K11674
Ssiderea252322	K10900
Ssiderea222617	K01769
Ssiderea233104	K22390
Ssiderea552199	K06228
Ssiderea224130	K08497
Ssiderea212274	K01194
Ssiderea248478	K06228
Ssiderea270438	K20099
Ssiderea500121	K07497
Ssiderea266138	K08202
Ssiderea222477	K12375
Ssiderea373582	K06269
Ssiderea251086	K22369
Ssiderea243866	K02542
Ssiderea232942	K21862
Ssiderea219616	K02870
Ssiderea260224	K00444
Ssiderea239792	K11127
Ssiderea463680	K06834
Ssiderea246415	K01596
Ssiderea456471	K03654
Ssiderea256460	K01586
Ssiderea269984	K09702
Ssiderea220012	K09199
Ssiderea246838	K12598
Ssiderea269653	K20315
Ssiderea270779	K06816
Ssiderea230417	K10772
Ssiderea233756	K10585
Ssiderea269538	K10597
Ssiderea264840	K08268
Ssiderea263505	K05093
Ssiderea252863	K08582
Ssiderea207984	K05312
Ssiderea221406	K04657
Ssiderea254771	K05655
Ssiderea269427	K11643
Ssiderea226773	K10380
Ssiderea251604	K08832
Ssiderea269477	K12306
Ssiderea234033	K10380
Ssiderea266033	K08145
Ssiderea241997	K14291
Ssiderea195679	K14072
Ssiderea264389	K07855
Ssiderea271334	K11592
Ssiderea259673	K00326
Ssiderea245094	K01206
Ssiderea247799	K20493
Ssiderea242908	K02885
Ssiderea228069	K05193
Ssiderea245131	K22928
Ssiderea256747	K15027
Ssiderea233337	K26151
Ssiderea224948	K01697
Ssiderea236190	K12505
Ssiderea237368	K25384
Ssiderea254096	K14857
Ssiderea259783	K12035
Ssiderea245783	K24469
Ssiderea250962	K16288
Ssiderea253985	K25739
Ssiderea248669	K01480
Ssiderea262396	K04984
Ssiderea256330	K11205
Ssiderea559330	K24431
Ssiderea255419	K03992
Ssiderea240288	K08892
Ssiderea250464	K07998
Ssiderea263480	K10865
Ssiderea227662	K19328
Ssiderea263194	K08455
Ssiderea259818	K04592
Ssiderea192823	K01019
Ssiderea268932	K10251
Ssiderea234738	K01304
Ssiderea234512	K06624
Ssiderea246313	K03097
Ssiderea271876	K13807
Ssiderea257336	K09663
Ssiderea151593	K04605
Ssiderea253375	K24939
Ssiderea248936	K12183
Ssiderea233646	K06942
Ssiderea254441	K07376
Ssiderea55491	K03175
Ssiderea48278	K19526
Ssiderea257515	K13356
Ssiderea226352	K20776
Ssiderea266278	K07497
Ssiderea147864	K13752
Ssiderea258136	K01469
Ssiderea232100	K20996
Ssiderea225687	K11673
Ssiderea263790	K10415
Ssiderea218590	K25186
Ssiderea244406	K11436
Ssiderea258391	K00939
Ssiderea227869	K10482
Ssiderea262594	K10642
Ssiderea245044	K02605
Ssiderea254885	K04144
Ssiderea257853	K07426
Ssiderea254123	K09624
Ssiderea389608	K12668
Ssiderea232391	K04967
Ssiderea253154	K23804
Ssiderea145024	K10352
Ssiderea459950	K10414
Ssiderea462657	K23999
Ssiderea231552	K15121
Ssiderea252872	K05691
Ssiderea329418	K12567
Ssiderea246133	K14291
Ssiderea205100	K10408
Ssiderea264755	K02927
Ssiderea247699	K25704
Ssiderea250265	K23092
Ssiderea239332	K02357
Ssiderea357989	K01915
Ssiderea270033	K15720
Ssiderea266736	K10646
Ssiderea239758	K13864
Ssiderea268795	K03941
Ssiderea238729	K21358
Ssiderea236813	K05181
Ssiderea260588	K05127
Ssiderea355166	K19526
Ssiderea253965	K12171
Ssiderea6255	K24738
Ssiderea138976	K01077
Ssiderea268375	K01210
Ssiderea235597	K17509
Ssiderea264164	K04968
Ssiderea541309	K02866
Ssiderea224187	K11507
Ssiderea258965	K15175
Ssiderea267444	K17307
Ssiderea241246	K20899
Ssiderea239341	K13863
Ssiderea182089	K04606
Ssiderea256457	K01613
Ssiderea268491	K20910
Ssiderea258725	K13145
Ssiderea236332	K14684
Ssiderea206506	K10949
Ssiderea142324	K03902
Ssiderea269161	K07203
Ssiderea267133	K04851
Ssiderea233597	K13251
Ssiderea264669	K14559
Ssiderea238624	K15202
Ssiderea238840	K09608
Ssiderea235897	K10478
Ssiderea37402	K26094
Ssiderea213621	K09657
Ssiderea268816	K07192
Ssiderea384564	K08136
Ssiderea261176	K12946
Ssiderea263308	K17592
Ssiderea449623	K03899
Ssiderea259523	K11723
Ssiderea237569	K01298
Ssiderea214070	K09608
Ssiderea197682	K04601
Ssiderea269158	K11699
Ssiderea250472	K21922
Ssiderea219357	K12373
Ssiderea2836	K25552
