Siderastrea_04803	Cytoskeleton
Siderastrea_18851	Posttranslational modification, protein turnover, chaperones
Siderastrea_07433	Signal transduction mechanisms
Siderastrea_00946	Translation, ribosomal structure and biogenesis
Siderastrea_08840	Translation, ribosomal structure and biogenesis
Siderastrea_06174	Function Unknown
Siderastrea_06970	Function Unknown
Siderastrea_02237	Cytoskeleton
Siderastrea_08947	Translation, ribosomal structure and biogenesis
Siderastrea_18384	Signal transduction mechanisms
Siderastrea_13035	Inorganic ion transport and metabolism
Siderastrea_15173	Intracellular trafficking, secretion, and vesicular transport
Siderastrea_14616	Nucleotide transport and metabolism
Siderastrea_15299	Signal transduction mechanisms
Siderastrea_17145	Transcription
Siderastrea_01692	Posttranslational modification, protein turnover, chaperones
Siderastrea_15478	Function Unknown
Siderastrea_03299	Translation, ribosomal structure and biogenesis
Siderastrea_02549	Carbohydrate transport and metabolism
Siderastrea_16409	Amino acid transport and metabolism
Siderastrea_05063	Translation, ribosomal structure and biogenesis
Siderastrea_08963	Translation, ribosomal structure and biogenesis
Siderastrea_08720	Signal transduction mechanisms
Siderastrea_03021	Replication, recombination and repair
Siderastrea_17350	
Siderastrea_10792	Intracellular trafficking, secretion, and vesicular transport
Siderastrea_06212	Transcription
Siderastrea_01868	Transcription
Siderastrea_06121	Secondary metabolites biosynthesis, transport and catabolism
Siderastrea_12860	Lipid transport and metabolism
Siderastrea_12505	Function Unknown
Siderastrea_00962	Carbohydrate transport and metabolism
Siderastrea_17951	Signal transduction mechanisms
Siderastrea_14974	Translation, ribosomal structure and biogenesis
Siderastrea_05080	Cytoskeleton
Siderastrea_09175	Cytoskeleton
Siderastrea_12618	Nucleotide transport and metabolism
Siderastrea_06699	Signal transduction mechanisms
Siderastrea_05069	Transcription
Siderastrea_04708	Posttranslational modification, protein turnover, chaperones
Siderastrea_02442	Function Unknown
Siderastrea_03135	Transcription
Siderastrea_16277	Function Unknown
Siderastrea_07122	Replication, recombination and repair
Siderastrea_09454	Transcription
Siderastrea_10895	
Siderastrea_14395	Coenzyme transport and metabolism
Siderastrea_19012	Inorganic ion transport and metabolism
Siderastrea_09322	Cytoskeleton
Siderastrea_16901	Function Unknown
Siderastrea_11973	Lipid transport and metabolism
Siderastrea_07909	Inorganic ion transport and metabolism
Siderastrea_08871	Energy production and conversion
Siderastrea_08727	Function Unknown
Siderastrea_03289	Lipid transport and metabolism
Siderastrea_12606	Amino acid transport and metabolism
Siderastrea_00529	Transcription
Siderastrea_09288	Intracellular trafficking, secretion, and vesicular transport
Siderastrea_12297	RNA processing and modification
Siderastrea_18221	Amino acid transport and metabolism
Siderastrea_03273	Intracellular trafficking, secretion, and vesicular transport
Siderastrea_03318	
Siderastrea_05855	Replication, recombination and repair
Siderastrea_14266	Posttranslational modification, protein turnover, chaperones
Siderastrea_09394	Function Unknown
Siderastrea_10922	Function Unknown
