Ssiderea30_c0_seq1	Ssiderea30
Ssiderea127_c0_seq1	Ssiderea127
Ssiderea347_c0_seq3	Ssiderea347
Ssiderea377_c0_seq2	Ssiderea377
Ssiderea520_c0_seq1	Ssiderea520
Ssiderea520_c0_seq2	Ssiderea520
Ssiderea736_c0_seq1	Ssiderea736
Ssiderea736_c0_seq2	Ssiderea736
Ssiderea1077_c0_seq1	Ssiderea1077
Ssiderea1266_c0_seq1	Ssiderea1266
Ssiderea1402_c0_seq1	Ssiderea1402
Ssiderea1460_c0_seq1	Ssiderea1460
Ssiderea1790_c0_seq1	Ssiderea1790
Ssiderea2018_c0_seq2	Ssiderea2018
Ssiderea2104_c0_seq1	Ssiderea2104
Ssiderea2243_c0_seq1	Ssiderea2243
Ssiderea2323_c0_seq1	Ssiderea2323
Ssiderea2583_c0_seq1	Ssiderea2583
Ssiderea2586_c0_seq1	Ssiderea2586
Ssiderea2627_c0_seq1	Ssiderea2627
Ssiderea2657_c0_seq1	Ssiderea2657
Ssiderea2790_c0_seq1	Ssiderea2790
Ssiderea3045_c0_seq1	Ssiderea3045
Ssiderea3310_c0_seq1	Ssiderea3310
Ssiderea3336_c0_seq1	Ssiderea3336
Ssiderea3336_c0_seq2	Ssiderea3336
Ssiderea3346_c0_seq1	Ssiderea3346
Ssiderea3568_c0_seq2	Ssiderea3568
Ssiderea4057_c0_seq1	Ssiderea4057
Ssiderea4066_c0_seq1	Ssiderea4066
Ssiderea4185_c0_seq1	Ssiderea4185
Ssiderea5054_c0_seq1	Ssiderea5054
Ssiderea5178_c0_seq1	Ssiderea5178
Ssiderea5290_c0_seq1	Ssiderea5290
Ssiderea5357_c0_seq1	Ssiderea5357
Ssiderea5541_c0_seq1	Ssiderea5541
Ssiderea5654_c0_seq1	Ssiderea5654
Ssiderea5907_c0_seq1	Ssiderea5907
Ssiderea6403_c0_seq1	Ssiderea6403
Ssiderea6531_c0_seq1	Ssiderea6531
Ssiderea6716_c0_seq2	Ssiderea6716
Ssiderea6754_c0_seq1	Ssiderea6754
Ssiderea6814_c0_seq1	Ssiderea6814
Ssiderea6981_c0_seq1	Ssiderea6981
Ssiderea7055_c0_seq1	Ssiderea7055
Ssiderea7703_c0_seq1	Ssiderea7703
Ssiderea7722_c0_seq1	Ssiderea7722
Ssiderea7784_c0_seq1	Ssiderea7784
Ssiderea7797_c0_seq1	Ssiderea7797
Ssiderea8126_c0_seq1	Ssiderea8126
Ssiderea8655_c0_seq1	Ssiderea8655
Ssiderea8719_c0_seq1	Ssiderea8719
Ssiderea8772_c0_seq1	Ssiderea8772
Ssiderea8775_c0_seq1	Ssiderea8775
Ssiderea9038_c0_seq1	Ssiderea9038
Ssiderea9193_c0_seq1	Ssiderea9193
Ssiderea9193_c0_seq2	Ssiderea9193
Ssiderea9213_c0_seq1	Ssiderea9213
Ssiderea9450_c0_seq1	Ssiderea9450
Ssiderea9459_c0_seq1	Ssiderea9459
Ssiderea9621_c0_seq1	Ssiderea9621
Ssiderea9869_c0_seq1	Ssiderea9869
Ssiderea10945_c0_seq1	Ssiderea10945
Ssiderea10994_c0_seq2	Ssiderea10994
Ssiderea11027_c0_seq1	Ssiderea11027
Ssiderea11051_c0_seq1	Ssiderea11051
Ssiderea11079_c0_seq1	Ssiderea11079
Ssiderea11241_c0_seq1	Ssiderea11241
Ssiderea11311_c0_seq1	Ssiderea11311
Ssiderea11426_c0_seq1	Ssiderea11426
Ssiderea11820_c0_seq1	Ssiderea11820
Ssiderea11846_c0_seq1	Ssiderea11846
Ssiderea11854_c0_seq1	Ssiderea11854
Ssiderea12186_c0_seq1	Ssiderea12186
Ssiderea12226_c0_seq1	Ssiderea12226
Ssiderea12657_c0_seq1	Ssiderea12657
Ssiderea12768_c0_seq1	Ssiderea12768
Ssiderea13195_c0_seq1	Ssiderea13195
Ssiderea13370_c0_seq1	Ssiderea13370
Ssiderea13466_c0_seq1	Ssiderea13466
Ssiderea13533_c0_seq1	Ssiderea13533
Ssiderea14458_c0_seq1	Ssiderea14458
Ssiderea14629_c0_seq1	Ssiderea14629
Ssiderea14729_c0_seq1	Ssiderea14729
Ssiderea14792_c0_seq1	Ssiderea14792
Ssiderea14793_c0_seq1	Ssiderea14793
Ssiderea14824_c0_seq1	Ssiderea14824
Ssiderea14824_c0_seq2	Ssiderea14824
Ssiderea14872_c0_seq1	Ssiderea14872
Ssiderea14980_c0_seq1	Ssiderea14980
Ssiderea15885_c0_seq1	Ssiderea15885
Ssiderea16093_c0_seq1	Ssiderea16093
Ssiderea16275_c0_seq1	Ssiderea16275
Ssiderea16385_c0_seq1	Ssiderea16385
Ssiderea16519_c0_seq1	Ssiderea16519
Ssiderea16867_c0_seq1	Ssiderea16867
Ssiderea17048_c0_seq1	Ssiderea17048
Ssiderea17214_c0_seq1	Ssiderea17214
Ssiderea17333_c0_seq1	Ssiderea17333
Ssiderea17652_c0_seq1	Ssiderea17652
Ssiderea18548_c0_seq1	Ssiderea18548
Ssiderea18718_c0_seq1	Ssiderea18718
Ssiderea18736_c0_seq1	Ssiderea18736
Ssiderea18982_c0_seq1	Ssiderea18982
Ssiderea19005_c0_seq1	Ssiderea19005
Ssiderea19037_c0_seq1	Ssiderea19037
Ssiderea19214_c0_seq1	Ssiderea19214
Ssiderea19430_c0_seq1	Ssiderea19430
Ssiderea19459_c0_seq2	Ssiderea19459
Ssiderea19489_c0_seq1	Ssiderea19489
Ssiderea19495_c0_seq1	Ssiderea19495
Ssiderea19533_c0_seq1	Ssiderea19533
Ssiderea19652_c0_seq1	Ssiderea19652
Ssiderea19661_c0_seq1	Ssiderea19661
Ssiderea19700_c0_seq1	Ssiderea19700
Ssiderea19927_c0_seq1	Ssiderea19927
Ssiderea19958_c0_seq1	Ssiderea19958
Ssiderea20102_c0_seq1	Ssiderea20102
Ssiderea20103_c0_seq1	Ssiderea20103
Ssiderea20192_c0_seq1	Ssiderea20192
Ssiderea20195_c0_seq1	Ssiderea20195
Ssiderea20387_c0_seq1	Ssiderea20387
Ssiderea20708_c0_seq1	Ssiderea20708
Ssiderea20743_c0_seq1	Ssiderea20743
Ssiderea20895_c0_seq2	Ssiderea20895
Ssiderea20911_c0_seq1	Ssiderea20911
Ssiderea20943_c0_seq1	Ssiderea20943
Ssiderea21327_c0_seq2	Ssiderea21327
Ssiderea21393_c0_seq1	Ssiderea21393
Ssiderea21399_c0_seq1	Ssiderea21399
Ssiderea21409_c0_seq1	Ssiderea21409
Ssiderea21531_c0_seq1	Ssiderea21531
Ssiderea21614_c0_seq1	Ssiderea21614
Ssiderea21802_c0_seq1	Ssiderea21802
Ssiderea21830_c0_seq1	Ssiderea21830
