Ssiderea256452	guanine/thymine mispair binding
Ssiderea243376	ATPase activity
Ssiderea238108	negative regulation of cell growth
Ssiderea261466	Heat shock 70 kDa protein 12A-like
Ssiderea260249	protein tyrosine kinase collagen receptor activity
Ssiderea250094	muscle alpha-actinin binding
Ssiderea243365	ornithine carbamoyltransferase activity
Ssiderea251006	EGF domain
Ssiderea247332	ribosomal protein import into nucleus
Ssiderea260012	multicellular organism development
Ssiderea248113	Transformation transcription domain-associated protein
Ssiderea244457	nucleotide phosphatase activity, acting on free nucleotides
Ssiderea278585	cysteine-type peptidase activity
Ssiderea256488	steroid hormone receptor activity
Ssiderea246238	positive regulation of GTPase activity
Ssiderea250314	Universal stress protein family
Ssiderea250889	calcium channel activity
Ssiderea258174	Protein tyrosine kinase
Ssiderea53279	Milk fat globule-EGF factor 8 protein
Ssiderea252754	lathosterol oxidase activity
Ssiderea249556	cytochrome-b5 reductase activity, acting on NAD(P)H
Ssiderea367058	sodium:potassium-exchanging ATPase activity
Ssiderea238073	HEAT repeat-containing protein 4
Ssiderea261788	CD40 signaling pathway
Ssiderea258522	DNA-directed 5'-3' RNA polymerase activity
Ssiderea251488	bicaudal D homolog
Ssiderea263051	Golgi to endosome transport
Ssiderea255467	tyrosine kinase
Ssiderea266939	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Ssiderea246231	phosphoenolpyruvate carboxykinase activity
Ssiderea260900	protein ubiquitination
Ssiderea260271	glucose-6-phosphate isomerase activity
Ssiderea255241	regulation of Schwann cell chemotaxis
Ssiderea241329	-
Ssiderea260977	BTB And C-terminal Kelch
Ssiderea256245	cellular iron ion homeostasis
Ssiderea249498	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
Ssiderea261260	supervillin
Ssiderea258776	positive regulation of voltage-gated calcium channel activity
Ssiderea233620	Ankyrin repeat
Ssiderea254284	Rho protein signal transduction
Ssiderea255218	WD repeat domain 33
Ssiderea243033	Mannosyltransferase
Ssiderea154408	AAA domain
Ssiderea260379	Golgi to lysosome transport
Ssiderea251121	sequence-specific DNA binding
Ssiderea237197	IQ domain-containing protein G
Ssiderea262326	Collagen, type XXVII, alpha 1
Ssiderea251312	gamma-aminobutyric acid type B receptor subunit
Ssiderea251797	Pyruvate Dehydrogenase Phosphatase Regulatory subunit
Ssiderea238719	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea259947	CUB and zona pellucida-like domain-containing protein
Ssiderea250528	preantral ovarian follicle growth
Ssiderea259285	regulation of Wnt signaling pathway
Ssiderea257100	cobalamin biosynthetic process
Ssiderea244324	Kelch-like protein 20
Ssiderea247667	G-protein gamma-subunit binding
Ssiderea240627	extracellular matrix protein 2
Ssiderea242137	single-stranded DNA binding
Ssiderea260830	7 transmembrane receptor (rhodopsin family)
Ssiderea259158	ATP binding
Ssiderea182230	holocytochrome-c synthase activity
Ssiderea253480	ubiquitin protein ligase binding
Ssiderea157095	phospholipase C
Ssiderea249934	protein phosphatase 1, regulatory subunit 21
Ssiderea436202	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea244605	-
Ssiderea235114	Fragile site-associated protein C-terminus
Ssiderea251736	zinc ion binding
Ssiderea241642	vesicle fusion with Golgi apparatus
Ssiderea261002	P granule disassembly
Ssiderea246468	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
Ssiderea250632	MYCBP associated protein
Ssiderea261233	ATPase activity, coupled to transmembrane movement of substances
Ssiderea261206	Ion transport protein
Ssiderea251533	Enoyl-(Acyl carrier protein) reductase
Ssiderea242027	methyltransferase activity
Ssiderea261445	ubiquitin conjugating enzyme binding
Ssiderea232640	negative chemotaxis
Ssiderea291007	Thioredoxin-like domain
Ssiderea249050	Thioredoxin-like domain
Ssiderea256714	Phosducin
Ssiderea260218	ATP-dependent RNA helicase activity
Ssiderea250953	cytidylate kinase activity
Ssiderea236822	Ceramide synthase
Ssiderea239631	DNA repair
Ssiderea159791	negative regulation of meiotic chromosome separation
Ssiderea249726	hydrolase activity, acting on ester bonds
Ssiderea259099	monooxygenase activity
Ssiderea206668	DNA-directed 5'-3' RNA polymerase activity
Ssiderea256759	K02A2.6-like
Ssiderea256499	Tonsoku-like, DNA repair protein
Ssiderea247601	Cupin-like domain
Ssiderea241113	translation initiation factor activity
Ssiderea252881	Mitogen-activated protein kinase kinase kinase 4
Ssiderea252245	tyrosyl-tRNA aminoacylation
Ssiderea250930	Domain present in PSD-95, Dlg, and ZO-1/2.
Ssiderea237546	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific
Ssiderea212358	Domain of unknown function (DUF4572)
Ssiderea94424	polycystic kidney disease protein 1-like
Ssiderea182153	Furin-like repeats
Ssiderea249007	intraflagellar transport
Ssiderea251824	detection of mechanical stimulus involved in sensory perception of pain
Ssiderea251055	DDB1- and CUL4-associated factor 10
Ssiderea230958	Transport and Golgi organisation 2
Ssiderea247789	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Ssiderea244877	formation of cytoplasmic translation initiation complex
Ssiderea235296	Belongs to the STXBP unc-18 SEC1 family
Ssiderea260209	4-coumarate--CoA ligase 1-like
Ssiderea247765	Cat eye syndrome
Ssiderea238849	NAD(P)+ nucleosidase activity
Ssiderea215429	serine threonine-protein kinase
Ssiderea314933	ribosomal large subunit assembly
Ssiderea255276	pre-mRNA cleavage required for polyadenylation
Ssiderea248632	HECT-domain (ubiquitin-transferase)
Ssiderea263419	UPF0378 protein KIAA0100 homolog
Ssiderea257326	Vacuolar Protein
Ssiderea241440	calcium ion binding
Ssiderea284208	Belongs to the cytochrome b5 family
Ssiderea232738	chaperone cofactor-dependent protein refolding
Ssiderea241324	calcium ion binding
Ssiderea247730	Transmembrane amino acid transporter protein
Ssiderea248915	catalase activity
Ssiderea261783	Exportin 1-like protein
Ssiderea214875	Pfam:zf-DHHC
Ssiderea248958	Cytochrome P450
Ssiderea208675	Chitinase domain containing 1
Ssiderea129546	K02A2.6-like
Ssiderea101213	Belongs to the DEAD box helicase family
Ssiderea246603	negative regulation of renal output by angiotensin
Ssiderea251514	mRNA transport
Ssiderea193213	protein serine/threonine kinase activity
Ssiderea251333	plasma membrane repair
Ssiderea247917	midbrain-hindbrain boundary maturation
Ssiderea261426	regulator of nonsense transcripts
Ssiderea260202	L-ascorbic acid binding
Ssiderea245762	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine
Ssiderea262774	RNA binding motif protein
Ssiderea258098	-
Ssiderea250220	GTPase activity
Ssiderea248478	proteasome-mediated ubiquitin-dependent protein catabolic process
Ssiderea263033	cellular response to nitrogen levels
Ssiderea263363	ATP binding
Ssiderea317812	glutathione transferase activity
Ssiderea245771	Cupin superfamily protein
Ssiderea263271	NADP-retinol dehydrogenase activity
Ssiderea259222	Frataxin, mitochondrial
Ssiderea262607	regulation of cellular senescence
Ssiderea250552	erythrocyte development
Ssiderea251742	RS domain binding
Ssiderea258144	Rho guanine nucleotide exchange factor
Ssiderea242822	dodecenoyl-CoA delta-isomerase activity
Ssiderea261451	negative regulation of non-canonical Wnt signaling pathway
Ssiderea247850	WSC domain
Ssiderea241365	positive regulation of myelination
