Siderastrea_04803	early endosome to recycling endosome transport
Siderastrea_18851	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Siderastrea_07433	protein domain specific binding
Siderastrea_00946	Required for RNA-mediated gene silencing (RNAi). Binds to short RNAs such as microRNAs (miRNAs) and represses the translation of mRNAs which are complementary to them. Lacks endonuclease activity and does not appear to cleave target mRNAs
Siderastrea_08840	positive regulation of translational fidelity
Siderastrea_06174	Forkhead associated domain
Siderastrea_06970	protein-cysteine S-acyltransferase activity
Siderastrea_02237	Hydrolytic ATP binding site of dynein motor region D1
Siderastrea_08947	release factor 1-like
Siderastrea_18384	protein serine/threonine phosphatase activity
Siderastrea_13035	Solute carrier family 39
Siderastrea_15173	Ras-related GTP-binding protein
Siderastrea_14616	nucleoside transmembrane transporter activity
Siderastrea_15299	3',5'-cyclic-AMP phosphodiesterase activity
Siderastrea_17145	Belongs to the bZIP family
Siderastrea_01692	digestion
Siderastrea_15478	minichromosome maintenance
Siderastrea_03299	alpha subunit
Siderastrea_02549	Phosphorylase b kinase catalyzes the phosphorylation of serine in certain substrates, including troponin I
Siderastrea_16409	arachidonate 5-lipoxygenase activity
Siderastrea_05063	translation Initiation Factor
Siderastrea_08963	polyribonucleotide nucleotidyltransferase activity
Siderastrea_08720	Rho GTPase activating protein 4
Siderastrea_03021	Replication factor c
Siderastrea_17350	It is involved in the biological process described with regulation of transcription, DNA-templated
Siderastrea_10792	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Siderastrea_06212	mesenchymal stem cell proliferation
Siderastrea_01868	sequence-specific DNA binding
Siderastrea_06121	Belongs to the short-chain dehydrogenases reductases (SDR) family
Siderastrea_12860	Patatin-like phospholipase
Siderastrea_12505	ubiquitin-protein transferase activity
Siderastrea_00962	trimming of terminal mannose on B branch
Siderastrea_17951	fibroblast growth factor-activated receptor activity
Siderastrea_14974	leucyl-tRNA aminoacylation
Siderastrea_05080	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Siderastrea_09175	protein KIAA1109 homolog
Siderastrea_12618	Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
Siderastrea_06699	calmodulin-dependent protein kinase activity
Siderastrea_05069	lysine-specific demethylase
Siderastrea_04708	Tetratricopeptide repeat domain 3
Siderastrea_02442	negative regulation of inclusion body assembly
Siderastrea_03135	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding
Siderastrea_16277	Akirin 2
Siderastrea_07122	transposition, RNA-mediated
Siderastrea_09454	anterior/posterior pattern specification
Siderastrea_10895	Regulator of chromosome condensation (RCC1) repeat
Siderastrea_14395	MTHFD1 methylenetetrahydrofolate dehydrogenase (NADP dependent) 1a
Siderastrea_19012	sulfuric ester hydrolase activity
