Ssiderea046003	Function Unknown
Ssiderea020302	Signal transduction mechanisms
Ssiderea000533	Posttranslational modification, protein turnover, chaperones
Ssiderea009384	Intracellular trafficking, secretion, and vesicular transport
Ssiderea003832	Cell cycle control, cell division, chromosome partitioning
Ssiderea012601	Posttranslational modification, protein turnover, chaperones
Ssiderea006464	Function Unknown
Ssiderea042233	Energy production and conversion
Ssiderea004035	Inorganic ion transport and metabolism
Ssiderea025975	Signal transduction mechanisms
Ssiderea005048	Signal transduction mechanisms
Ssiderea038129	Extracellular structures
Ssiderea028919	Replication, recombination and repair
Ssiderea049996	Function Unknown
Ssiderea032224	Replication, recombination and repair
Ssiderea004852	Signal transduction mechanisms
Ssiderea052350	Signal transduction mechanisms
Ssiderea017376	Function Unknown
Ssiderea027415	Function Unknown
Ssiderea001962	Function Unknown
Ssiderea054226	Lipid transport and metabolism
Ssiderea040978	Inorganic ion transport and metabolism
Ssiderea007110	Transcription
Ssiderea006100	Function Unknown
Ssiderea054047	
Ssiderea022909	Posttranslational modification, protein turnover, chaperones
Ssiderea037386	Intracellular trafficking, secretion, and vesicular transport
Ssiderea052647	Carbohydrate transport and metabolism
Ssiderea050128	Function Unknown
Ssiderea044804	Function Unknown
Ssiderea028760	Function Unknown
Ssiderea006630	Posttranslational modification, protein turnover, chaperones
Ssiderea042291	Lipid transport and metabolism
Ssiderea031466	Transcription
Ssiderea026158	Carbohydrate transport and metabolism
Ssiderea029924	Signal transduction mechanisms
Ssiderea045278	Signal transduction mechanisms
Ssiderea001036	Posttranslational modification, protein turnover, chaperones
Ssiderea61030	Replication, recombination and repair
Ssiderea005883	Function Unknown
Ssiderea005131	Function Unknown
Ssiderea045860	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea023346	Lipid transport and metabolism
Ssiderea028528	Amino acid transport and metabolism
Ssiderea013598	
Ssiderea014717	Transcription
Ssiderea60152	Replication, recombination and repair
Ssiderea052915	Secondary metabolites biosynthesis, transport and catabolism
Ssiderea023654	Signal transduction mechanisms
Ssiderea055087	Cell wall/membrane/envelope biogenesis
Ssiderea021583	Function Unknown
Ssiderea015767	Transcription
Ssiderea014867	Function Unknown
Ssiderea018196	Function Unknown
Ssiderea002764	Signal transduction mechanisms
Ssiderea022512	Posttranslational modification, protein turnover, chaperones
Ssiderea050555	Signal transduction mechanisms
Ssiderea001872	Extracellular structures
Ssiderea051082	Cytoskeleton
Ssiderea021335	Energy production and conversion
Ssiderea025933	
Ssiderea022943	Amino acid transport and metabolism
Ssiderea016268	Function Unknown
Ssiderea036993	Carbohydrate transport and metabolism
Ssiderea053759	Energy production and conversion
Ssiderea007570	Function Unknown
Ssiderea013946	Signal transduction mechanisms
Ssiderea052504	Lipid transport and metabolism
Ssiderea052355	Lipid transport and metabolism
Ssiderea012426	Signal transduction mechanisms
Ssiderea042640	Signal transduction mechanisms
Ssiderea014383	Intracellular trafficking, secretion, and vesicular transport
Ssiderea058219	Signal transduction mechanisms
Ssiderea61410	Inorganic ion transport and metabolism
Ssiderea003810	Amino acid transport and metabolism
Ssiderea022598	Inorganic ion transport and metabolism
Ssiderea030135	Intracellular trafficking, secretion, and vesicular transport
Ssiderea034309	Signal transduction mechanisms
Ssiderea034973	Chromatin structure and dynamics
Ssiderea037962	Cytoskeleton
Ssiderea022790	Function Unknown
Ssiderea057810	Carbohydrate transport and metabolism
Ssiderea053160	Function Unknown
Ssiderea048362	Posttranslational modification, protein turnover, chaperones
Ssiderea023919	Inorganic ion transport and metabolism
Ssiderea025050	Signal transduction mechanisms
Ssiderea005792	
Ssiderea020101	Function Unknown
Ssiderea005039	Signal transduction mechanisms
Ssiderea041994	Function Unknown
Ssiderea046264	Function Unknown
Ssiderea030430	Function Unknown
Ssiderea005149	Translation, ribosomal structure and biogenesis
Ssiderea048371	Posttranslational modification, protein turnover, chaperones
Ssiderea001677	
Ssiderea014932	Function Unknown
Ssiderea042219	
Ssiderea032543	Posttranslational modification, protein turnover, chaperones
Ssiderea024915	Intracellular trafficking, secretion, and vesicular transport
Ssiderea007252	Inorganic ion transport and metabolism
Ssiderea000772	Inorganic ion transport and metabolism
Ssiderea047461	Replication, recombination and repair
Ssiderea041478	Carbohydrate transport and metabolism
Ssiderea032602	Posttranslational modification, protein turnover, chaperones
Ssiderea031834	Coenzyme transport and metabolism
Ssiderea006685	Function Unknown
Ssiderea033394	Signal transduction mechanisms
Ssiderea010510	
Ssiderea62397	Translation, ribosomal structure and biogenesis
Ssiderea045536	Function Unknown
